RIS-TrapCode,Common Name,CalDate,Code-RISgeneric,binomial,County,TrapName,CalDate,CountType,DailyCount,DaysForCount,Count
45,Satyr Pug,1999,858,Eupithecia satyrata,Yorkshire,Malham Tarn,1999-06-28,Total,1,1,1.0
45,Heath Rustic,1972,305,Xestia agathina,Yorkshire,Malham Tarn,1972-07-08,Total,1,1,1.0
45,Heath Rustic,1972,305,Xestia agathina,Yorkshire,Malham Tarn,1972-10-08,Total,1,1,1.0
45,Heath Rustic,1972,305,Xestia agathina,Yorkshire,Malham Tarn,1972-08-15,Total,1,1,1.0
45,Heath Rustic,1972,305,Xestia agathina,Yorkshire,Malham Tarn,1972-08-16,Total,1,1,1.0
45,Heath Rustic,1974,305,Xestia agathina,Yorkshire,Malham Tarn,1974-08-14,Total,1,1,1.0
45,Heath Rustic,1976,305,Xestia agathina,Yorkshire,Malham Tarn,1976-08-21,Total,1,1,1.0
45,True Lover's Knot,1966,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1966-06-26,Total,1,1,1.0
45,True Lover's Knot,1966,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1966-07-07,Total,8,1,8.0
45,True Lover's Knot,1966,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1966-08-07,Total,7,1,7.0
45,True Lover's Knot,1966,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1966-09-07,Total,1,1,1.0
45,True Lover's Knot,1966,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1966-07-13,Total,1,1,1.0
45,True Lover's Knot,1966,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1966-07-14,Total,1,1,1.0
45,True Lover's Knot,1967,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1967-06-23,Total,1,1,1.0
45,True Lover's Knot,1967,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1967-01-07,Total,1,1,1.0
45,True Lover's Knot,1967,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1967-04-07,Total,1,1,1.0
45,True Lover's Knot,1967,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1967-07-07,Total,2,1,2.0
45,True Lover's Knot,1967,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1967-10-07,Total,2,1,2.0
45,True Lover's Knot,1967,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1967-07-25,Total,1,1,1.0
45,True Lover's Knot,1967,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1967-07-27,Total,1,1,1.0
45,True Lover's Knot,1968,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1968-06-21,Total,2,1,2.0
45,True Lover's Knot,1968,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1968-06-24,Total,1,1,1.0
45,True Lover's Knot,1968,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1968-06-25,Total,1,1,1.0
45,True Lover's Knot,1968,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1968-06-27,Total,1,1,1.0
45,True Lover's Knot,1968,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1968-01-07,Total,1,1,1.0
45,True Lover's Knot,1968,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1968-03-07,Total,1,1,1.0
45,True Lover's Knot,1968,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1968-05-07,Total,1,1,1.0
45,True Lover's Knot,1968,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1968-06-07,Total,1,1,1.0
45,True Lover's Knot,1968,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1968-07-07,Total,1,1,1.0
45,True Lover's Knot,1968,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1968-08-07,Total,1,1,1.0
45,True Lover's Knot,1968,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1968-07-16,Total,1,1,1.0
45,True Lover's Knot,1968,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1968-07-19,Total,3,1,3.0
45,True Lover's Knot,1968,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1968-07-21,Total,1,1,1.0
45,True Lover's Knot,1968,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1968-07-27,Total,1,1,1.0
45,True Lover's Knot,1968,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1968-07-29,Total,1,1,1.0
45,True Lover's Knot,1969,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1969-01-07,Total,1,1,1.0
45,True Lover's Knot,1969,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1969-04-07,Total,5,1,5.0
45,True Lover's Knot,1969,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1969-07-07,Total,2,1,2.0
45,True Lover's Knot,1969,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1969-08-07,Total,1,1,1.0
45,True Lover's Knot,1969,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1969-10-07,Total,1,1,1.0
45,True Lover's Knot,1969,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1969-12-07,Total,1,1,1.0
45,True Lover's Knot,1969,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1969-07-14,Total,1,1,1.0
45,True Lover's Knot,1969,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1969-07-17,Total,1,1,1.0
45,True Lover's Knot,1969,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1969-07-19,Total,3,1,3.0
45,True Lover's Knot,1969,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1969-07-20,Total,5,1,5.0
45,True Lover's Knot,1969,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1969-07-21,Total,1,1,1.0
45,True Lover's Knot,1969,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1969-07-22,Total,9,1,9.0
45,True Lover's Knot,1969,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1969-07-23,Total,3,1,3.0
45,True Lover's Knot,1969,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1969-07-27,Total,1,1,1.0
45,True Lover's Knot,1969,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1969-08-08,Total,1,1,1.0
45,True Lover's Knot,1970,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1970-06-28,Total,1,1,1.0
45,True Lover's Knot,1970,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1970-06-07,Total,1,1,1.0
45,True Lover's Knot,1970,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1970-11-07,Total,1,1,1.0
45,True Lover's Knot,1970,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1970-07-16,Total,4,1,4.0
45,True Lover's Knot,1970,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1970-07-18,Total,2,1,2.0
45,True Lover's Knot,1970,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1970-07-20,Total,1,1,1.0
45,True Lover's Knot,1970,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1970-07-27,Total,1,1,1.0
45,True Lover's Knot,1970,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1970-07-28,Total,1,1,1.0
45,True Lover's Knot,1970,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1970-07-29,Total,1,1,1.0
45,True Lover's Knot,1970,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1970-07-30,Total,1,1,1.0
45,True Lover's Knot,1971,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1971-01-07,Total,1,1,1.0
45,True Lover's Knot,1971,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1971-03-07,Total,1,1,1.0
45,True Lover's Knot,1971,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1971-05-07,Total,1,1,1.0
45,True Lover's Knot,1971,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1971-07-19,Total,1,1,1.0
45,True Lover's Knot,1971,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1971-07-20,Total,1,1,1.0
45,True Lover's Knot,1971,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1971-07-27,Total,1,1,1.0
45,True Lover's Knot,1971,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1971-11-08,Total,1,1,1.0
45,True Lover's Knot,1971,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1971-12-08,Total,1,1,1.0
45,True Lover's Knot,1972,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1972-07-17,Total,2,1,2.0
45,True Lover's Knot,1972,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1972-08-15,Total,1,1,1.0
45,True Lover's Knot,1973,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1973-06-27,Total,1,2,0.5
45,True Lover's Knot,1973,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1973-06-29,Total,2,1,2.0
45,True Lover's Knot,1973,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1973-02-07,Total,1,1,1.0
45,True Lover's Knot,1973,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1973-04-07,Total,1,1,1.0
45,True Lover's Knot,1973,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1973-05-07,Total,1,1,1.0
45,True Lover's Knot,1973,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1973-08-07,Total,2,1,2.0
45,True Lover's Knot,1973,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1973-09-07,Total,2,1,2.0
45,True Lover's Knot,1974,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1974-06-29,Total,2,1,2.0
45,True Lover's Knot,1974,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1974-02-07,Total,1,3,0.333333333
45,True Lover's Knot,1974,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1974-04-07,Total,3,1,3.0
45,True Lover's Knot,1974,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1974-08-07,Total,1,1,1.0
45,True Lover's Knot,1974,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1974-10-07,Total,1,1,1.0
45,True Lover's Knot,1974,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1974-11-07,Total,1,1,1.0
45,True Lover's Knot,1974,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1974-07-19,Total,1,1,1.0
45,True Lover's Knot,1974,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1974-07-20,Total,1,1,1.0
45,True Lover's Knot,1974,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1974-07-21,Total,1,1,1.0
45,True Lover's Knot,1974,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1974-07-23,Total,1,1,1.0
45,True Lover's Knot,1974,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1974-07-26,Total,1,1,1.0
45,True Lover's Knot,1974,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1974-07-28,Total,1,1,1.0
45,True Lover's Knot,1975,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1975-07-16,Total,1,1,1.0
45,True Lover's Knot,1976,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1976-03-07,Total,1,1,1.0
45,True Lover's Knot,1976,289,Lycophotia porphyrea,Yorkshire,Malham Tarn,1976-09-07,Total,1,1,1.0
