AA684537_at	AF001898_at	AF037072_at	AF038043_at	D83348_at	D86297_at	M10094_g_at	M98826mRNA_at	rc_AA799745_at	rc_AA891695_i_at	rc_AA894099_at	rc_AA900582_at	rc_AI639520_at	X06150cds_g_at	X57169_i_at	X60769mRNA_at	"drinking"	"brain_area"	"rat_strain"
1	1	2	2	2	0	2	2	0	1	0	1	1	1	2	1	0	0	0
0	1	2	1	1	1	0	1	2	1	0	1	2	0	0	1	0	0	0
1	0	2	2	2	0	1	2	0	0	0	2	2	1	1	2	1	0	0
1	1	2	2	2	1	1	0	0	0	0	2	1	1	1	2	1	0	0
1	2	2	0	2	0	2	1	0	0	2	1	2	0	2	0	1	0	0
1	1	2	2	2	0	1	0	0	0	0	0	2	2	1	2	1	0	0
2	1	1	0	1	0	2	2	1	1	1	1	1	1	2	1	0	0	1
0	1	1	1	1	2	0	1	2	1	1	1	2	1	0	2	0	0	1
2	1	1	0	2	0	1	2	0	0	0	2	2	2	1	2	1	0	1
2	0	0	2	2	0	1	1	0	0	0	2	2	0	2	2	1	0	1
2	1	0	0	2	0	2	0	0	0	0	0	2	0	2	2	1	0	1
2	1	0	0	2	0	2	0	1	0	0	0	2	0	2	2	1	0	1
2	1	0	0	2	0	1	2	1	0	0	1	1	2	1	0	1	0	1
1	2	1	1	1	2	0	1	0	1	1	2	2	1	1	2	0	0	2
1	1	0	2	2	1	1	2	1	2	0	1	1	2	0	1	0	0	2
0	1	1	1	1	1	0	2	1	1	1	2	1	1	0	1	0	0	2
0	1	1	2	2	1	2	1	2	2	1	2	2	1	0	1	0	0	2
0	2	1	2	1	2	0	1	2	2	2	2	2	1	0	0	0	0	2
0	1	2	2	1	1	1	1	1	0	2	1	1	2	0	1	0	0	2
1	0	0	2	2	0	2	2	1	2	0	2	2	2	2	1	1	0	2
1	0	1	2	2	0	1	2	0	2	0	2	2	2	1	2	1	0	2
0	1	1	2	2	0	0	0	0	0	1	0	2	0	0	2	1	0	2
1	1	2	2	2	2	2	2	1	2	0	2	2	2	1	1	1	0	2
1	0	1	0	2	0	1	1	0	1	0	0	2	1	1	1	1	0	2
1	0	0	1	2	0	1	0	0	1	2	1	2	0	1	1	1	0	2
1	0	0	2	2	0	1	0	0	0	0	0	2	0	1	2	1	0	2
0	2	2	1	1	2	0	1	2	2	2	1	1	1	0	1	0	1	0
0	2	2	1	1	2	0	1	2	0	1	0	1	1	0	1	0	1	0
0	2	2	1	0	2	0	2	2	2	2	1	1	2	0	0	0	1	0
0	2	2	0	1	1	0	1	2	2	2	1	1	1	0	1	0	1	0
0	2	2	2	1	2	2	1	1	2	1	0	1	2	0	2	0	1	0
0	2	2	1	1	1	1	0	2	2	2	0	1	2	0	0	0	1	0
0	2	2	0	1	2	1	0	2	2	2	0	0	1	0	2	1	1	0
0	2	2	0	1	2	0	0	2	2	2	0	0	0	0	2	1	1	0
0	2	1	2	0	2	0	2	2	2	1	2	1	2	1	0	0	1	1
0	2	1	0	0	2	0	1	2	1	1	2	1	0	0	0	0	1	1
1	2	1	1	0	2	0	2	2	1	2	2	1	2	0	0	0	1	1
1	1	2	1	0	2	1	2	2	1	2	2	0	2	1	0	1	1	1
1	2	2	0	0	1	1	2	1	1	1	2	0	2	1	0	1	1	1
1	2	2	0	0	2	1	2	2	0	1	1	0	2	1	0	1	1	1
2	2	0	1	0	2	0	0	0	0	1	0	0	0	2	1	0	1	2
2	0	1	0	0	1	2	2	0	1	2	1	0	1	2	0	0	1	2
2	2	1	1	0	0	0	1	1	1	1	1	0	1	2	1	0	1	2
2	0	1	2	0	2	2	1	2	2	2	1	0	1	2	0	0	1	2
2	2	0	1	1	2	0	0	1	1	1	1	0	1	1	1	0	1	2
2	0	1	1	0	1	2	1	1	2	1	1	0	2	2	0	0	1	2
2	0	0	1	1	0	2	1	0	0	2	0	0	0	2	0	1	1	2
2	0	0	0	0	1	2	0	0	0	0	0	0	0	2	2	1	1	2
2	0	0	2	0	1	2	0	1	0	2	0	0	0	2	0	1	1	2
2	0	0	0	0	1	1	0	2	0	2	0	0	0	2	1	1	1	2
2	0	0	0	1	1	2	0	0	0	1	0	0	1	2	2	1	1	2
2	0	0	2	0	1	2	1	0	1	2	0	0	0	2	0	1	1	2
1	0	0	0	0	1	2	0	0	1	0	0	0	0	2	2	1	1	2
