,node,state,count,id,Network
0,0,0,346,Random Noise,0
1,0,1,325,Random Noise,0
2,0,2,329,Random Noise,0
3,1,0,342,Random Noise,0
4,1,1,323,Random Noise,0
5,1,2,335,Random Noise,0
6,2,0,312,Random Noise,0
7,2,1,345,Random Noise,0
8,2,2,343,Random Noise,0
9,3,0,328,Random Noise,0
10,3,1,329,Random Noise,0
11,3,2,343,Random Noise,0
12,4,0,351,Random Noise,0
13,4,1,333,Random Noise,0
14,4,2,316,Random Noise,0
15,5,0,321,Random Noise,0
16,5,1,345,Random Noise,0
17,5,2,334,Random Noise,0
0,0,0,324,Random Noise,1
1,0,1,328,Random Noise,1
2,0,2,348,Random Noise,1
3,1,0,348,Random Noise,1
4,1,1,333,Random Noise,1
5,1,2,319,Random Noise,1
6,2,0,330,Random Noise,1
7,2,1,336,Random Noise,1
8,2,2,334,Random Noise,1
9,3,0,316,Random Noise,1
10,3,1,357,Random Noise,1
11,3,2,327,Random Noise,1
12,4,0,332,Random Noise,1
13,4,1,339,Random Noise,1
14,4,2,329,Random Noise,1
15,5,0,350,Random Noise,1
16,5,1,307,Random Noise,1
17,5,2,343,Random Noise,1
0,0,0,317,Random Noise,2
1,0,1,346,Random Noise,2
2,0,2,337,Random Noise,2
3,1,0,328,Random Noise,2
4,1,1,332,Random Noise,2
5,1,2,340,Random Noise,2
6,2,0,319,Random Noise,2
7,2,1,331,Random Noise,2
8,2,2,350,Random Noise,2
9,3,0,369,Random Noise,2
10,3,1,306,Random Noise,2
11,3,2,325,Random Noise,2
12,4,0,342,Random Noise,2
13,4,1,330,Random Noise,2
14,4,2,328,Random Noise,2
15,5,0,325,Random Noise,2
16,5,1,355,Random Noise,2
17,5,2,320,Random Noise,2
0,0,0,336,Random Noise,3
1,0,1,343,Random Noise,3
2,0,2,321,Random Noise,3
3,1,0,349,Random Noise,3
4,1,1,329,Random Noise,3
5,1,2,322,Random Noise,3
6,2,0,312,Random Noise,3
7,2,1,358,Random Noise,3
8,2,2,330,Random Noise,3
9,3,0,339,Random Noise,3
10,3,1,327,Random Noise,3
11,3,2,334,Random Noise,3
12,4,0,333,Random Noise,3
13,4,1,321,Random Noise,3
14,4,2,346,Random Noise,3
15,5,0,331,Random Noise,3
16,5,1,322,Random Noise,3
17,5,2,347,Random Noise,3
0,0,0,317,Random Noise,4
1,0,1,337,Random Noise,4
2,0,2,346,Random Noise,4
3,1,0,335,Random Noise,4
4,1,1,357,Random Noise,4
5,1,2,308,Random Noise,4
6,2,0,346,Random Noise,4
7,2,1,315,Random Noise,4
8,2,2,339,Random Noise,4
9,3,0,325,Random Noise,4
10,3,1,337,Random Noise,4
11,3,2,338,Random Noise,4
12,4,0,371,Random Noise,4
13,4,1,302,Random Noise,4
14,4,2,327,Random Noise,4
15,5,0,306,Random Noise,4
16,5,1,352,Random Noise,4
17,5,2,342,Random Noise,4
0,0,0,374,Random Noise,5
1,0,1,299,Random Noise,5
2,0,2,327,Random Noise,5
3,1,0,289,Random Noise,5
4,1,1,370,Random Noise,5
5,1,2,341,Random Noise,5
6,2,0,331,Random Noise,5
7,2,1,318,Random Noise,5
8,2,2,351,Random Noise,5
9,3,0,348,Random Noise,5
10,3,1,356,Random Noise,5
11,3,2,296,Random Noise,5
12,4,0,333,Random Noise,5
13,4,1,331,Random Noise,5
14,4,2,336,Random Noise,5
15,5,0,325,Random Noise,5
16,5,1,326,Random Noise,5
17,5,2,349,Random Noise,5
0,0,0,322,Random Noise,6
1,0,1,349,Random Noise,6
2,0,2,329,Random Noise,6
3,1,0,315,Random Noise,6
4,1,1,335,Random Noise,6
5,1,2,350,Random Noise,6
6,2,0,335,Random Noise,6
7,2,1,340,Random Noise,6
8,2,2,325,Random Noise,6
9,3,0,375,Random Noise,6
10,3,1,326,Random Noise,6
11,3,2,299,Random Noise,6
12,4,0,309,Random Noise,6
13,4,1,347,Random Noise,6
14,4,2,344,Random Noise,6
15,5,0,344,Random Noise,6
16,5,1,303,Random Noise,6
17,5,2,353,Random Noise,6
0,0,0,332,Random Noise,7
1,0,1,340,Random Noise,7
2,0,2,328,Random Noise,7
3,1,0,344,Random Noise,7
4,1,1,337,Random Noise,7
5,1,2,319,Random Noise,7
6,2,0,332,Random Noise,7
7,2,1,328,Random Noise,7
8,2,2,340,Random Noise,7
9,3,0,330,Random Noise,7
10,3,1,346,Random Noise,7
11,3,2,324,Random Noise,7
12,4,0,334,Random Noise,7
13,4,1,330,Random Noise,7
14,4,2,336,Random Noise,7
15,5,0,328,Random Noise,7
16,5,1,319,Random Noise,7
17,5,2,353,Random Noise,7
0,0,0,321,Random Noise,8
1,0,1,347,Random Noise,8
2,0,2,332,Random Noise,8
3,1,0,349,Random Noise,8
4,1,1,334,Random Noise,8
5,1,2,317,Random Noise,8
6,2,0,318,Random Noise,8
7,2,1,336,Random Noise,8
8,2,2,346,Random Noise,8
9,3,0,341,Random Noise,8
10,3,1,315,Random Noise,8
11,3,2,344,Random Noise,8
12,4,0,331,Random Noise,8
13,4,1,345,Random Noise,8
14,4,2,324,Random Noise,8
15,5,0,340,Random Noise,8
