,node,state,count,id,Network
0,0,0,351,Random Noise,0
1,0,1,329,Random Noise,0
2,0,2,320,Random Noise,0
3,1,0,350,Random Noise,0
4,1,1,316,Random Noise,0
5,1,2,334,Random Noise,0
6,2,0,323,Random Noise,0
7,2,1,325,Random Noise,0
8,2,2,352,Random Noise,0
9,3,0,315,Random Noise,0
10,3,1,354,Random Noise,0
11,3,2,331,Random Noise,0
12,4,0,328,Random Noise,0
13,4,1,333,Random Noise,0
14,4,2,339,Random Noise,0
15,5,0,333,Random Noise,0
16,5,1,343,Random Noise,0
17,5,2,324,Random Noise,0
0,0,0,330,Random Noise,1
1,0,1,354,Random Noise,1
2,0,2,316,Random Noise,1
3,1,0,334,Random Noise,1
4,1,1,329,Random Noise,1
5,1,2,337,Random Noise,1
6,2,0,352,Random Noise,1
7,2,1,322,Random Noise,1
8,2,2,326,Random Noise,1
9,3,0,318,Random Noise,1
10,3,1,317,Random Noise,1
11,3,2,365,Random Noise,1
12,4,0,333,Random Noise,1
13,4,1,343,Random Noise,1
14,4,2,324,Random Noise,1
15,5,0,333,Random Noise,1
16,5,1,335,Random Noise,1
17,5,2,332,Random Noise,1
0,0,0,338,Random Noise,2
1,0,1,327,Random Noise,2
2,0,2,335,Random Noise,2
3,1,0,338,Random Noise,2
4,1,1,338,Random Noise,2
5,1,2,324,Random Noise,2
6,2,0,316,Random Noise,2
7,2,1,338,Random Noise,2
8,2,2,346,Random Noise,2
9,3,0,319,Random Noise,2
10,3,1,365,Random Noise,2
11,3,2,316,Random Noise,2
12,4,0,347,Random Noise,2
13,4,1,313,Random Noise,2
14,4,2,340,Random Noise,2
15,5,0,342,Random Noise,2
16,5,1,319,Random Noise,2
17,5,2,339,Random Noise,2
0,0,0,335,Random Noise,3
1,0,1,331,Random Noise,3
2,0,2,334,Random Noise,3
3,1,0,319,Random Noise,3
4,1,1,353,Random Noise,3
5,1,2,328,Random Noise,3
6,2,0,350,Random Noise,3
7,2,1,321,Random Noise,3
8,2,2,329,Random Noise,3
9,3,0,339,Random Noise,3
10,3,1,344,Random Noise,3
11,3,2,317,Random Noise,3
12,4,0,347,Random Noise,3
13,4,1,341,Random Noise,3
14,4,2,312,Random Noise,3
15,5,0,310,Random Noise,3
16,5,1,310,Random Noise,3
17,5,2,380,Random Noise,3
0,0,0,342,Random Noise,4
1,0,1,328,Random Noise,4
2,0,2,330,Random Noise,4
3,1,0,320,Random Noise,4
4,1,1,359,Random Noise,4
