,id,Network,score,initial_state
0,Random Noise,0,0.009333333333333329,constant
0,Random Noise,1,0.009814814814814806,constant
0,Random Noise,2,0.01174074074074073,constant
0,Random Noise,3,0.009481481481481474,constant
0,Random Noise,4,0.01481481481481482,constant
0,Random Noise,5,0.017592592592592587,constant
0,Random Noise,6,0.015407407407407403,constant
0,Random Noise,7,0.00703703703703703,constant
0,Random Noise,8,0.009518518518518515,constant
0,Random Noise,9,0.00922222222222222,constant
0,Random Noise,0,0.012555555555555554,constant
0,Random Noise,1,0.008370370370370363,constant
0,Random Noise,2,0.0074444444444444445,constant
0,Random Noise,3,0.011370370370370366,constant
0,Random Noise,4,0.011222222222222212,constant
0,Random Noise,5,0.011407407407407394,constant
0,Random Noise,6,0.005740740740740731,constant
0,Random Noise,7,0.008962962962962963,constant
0,Random Noise,8,0.012259259259259263,constant
0,Random Noise,9,0.010851851851851857,constant
0,Random Noise,0,0.015407407407407404,constant
0,Random Noise,1,0.01355555555555555,constant
0,Random Noise,2,0.011148148148148157,constant
0,Random Noise,3,0.009962962962962967,constant
0,Random Noise,4,0.011444444444444446,constant
0,Random Noise,5,0.010555555555555556,constant
0,Random Noise,6,0.013037037037037022,constant
0,Random Noise,7,0.01248148148148149,constant
0,Random Noise,8,0.01322222222222222,constant
0,Random Noise,9,0.013814814814814808,constant
0,Random Noise,0,0.01074074074074073,constant
0,Random Noise,1,0.010111111111111093,constant
0,Random Noise,2,0.007999999999999997,constant
0,Random Noise,3,0.008037037037037032,constant
0,Random Noise,4,0.005962962962962966,constant
0,Random Noise,5,0.014185185185185183,constant
0,Random Noise,6,0.015777777777777786,constant
0,Random Noise,7,0.010962962962962964,constant
0,Random Noise,8,0.012629629629629631,constant
0,Random Noise,9,0.011148148148148138,constant
0,Random Noise,0,0.0071481481481481405,constant
0,Random Noise,1,0.009074074074074073,constant
0,Random Noise,2,0.005740740740740744,constant
0,Random Noise,3,0.005888888888888888,constant
0,Random Noise,4,0.01314814814814814,constant
0,Random Noise,5,0.011222222222222217,constant
0,Random Noise,6,0.011407407407407394,constant
0,Random Noise,7,0.017185185185185182,constant
0,Random Noise,8,0.00840740740740741,constant
0,Random Noise,9,0.011777777777777774,constant
0,Random Noise,0,0.010851851851851854,constant
0,Random Noise,1,0.008962962962962966,constant
0,Random Noise,2,0.011962962962962951,constant
0,Random Noise,3,0.008777777777777778,constant
0,Random Noise,4,0.011888888888888888,constant
0,Random Noise,5,0.014814814814814807,constant
0,Random Noise,6,0.00933333333333333,constant
0,Random Noise,7,0.012037037037037032,constant
0,Random Noise,8,0.014296296296296291,constant
0,Random Noise,9,0.010962962962962966,constant
0,Random Noise,0,0.0076666666666666645,constant
0,Random Noise,1,0.014444444444444439,constant
0,Random Noise,2,0.008518518518518528,constant
0,Random Noise,3,0.005777777777777777,constant
0,Random Noise,4,0.008370370370370377,constant
0,Random Noise,5,0.006148148148148162,constant
