,id,Network,score,initial_state
0,Random Noise,0,0.009962962962962951,random
0,Random Noise,1,0.00962962962962962,random
0,Random Noise,2,0.011037037037037047,random
0,Random Noise,3,0.013666666666666662,random
0,Random Noise,4,0.01014814814814814,random
0,Random Noise,5,0.010481481481481467,random
0,Random Noise,6,0.011259259259259255,random
0,Random Noise,7,0.006074074074074076,random
0,Random Noise,8,0.009740740740740729,random
0,Random Noise,9,0.011629629629629634,random
0,Random Noise,0,0.011814814814814806,random
0,Random Noise,1,0.01640740740740741,random
0,Random Noise,2,0.010074074074074072,random
0,Random Noise,3,0.011296296296296285,random
0,Random Noise,4,0.012925925925925915,random
0,Random Noise,5,0.011333333333333315,random
0,Random Noise,6,0.004777777777777779,random
0,Random Noise,7,0.01544444444444444,random
0,Random Noise,8,0.013851851851851853,random
0,Random Noise,9,0.012037037037037028,random
0,Random Noise,0,0.009481481481481478,random
0,Random Noise,1,0.011777777777777774,random
0,Random Noise,2,0.014407407407407416,random
0,Random Noise,3,0.012037037037037027,random
0,Random Noise,4,0.01096296296296296,random
0,Random Noise,5,0.007999999999999998,random
0,Random Noise,6,0.008481481481481486,random
0,Random Noise,7,0.00914814814814814,random
0,Random Noise,8,0.010629629629629633,random
0,Random Noise,9,0.010814814814814803,random
0,Random Noise,0,0.008592592592592591,random
0,Random Noise,1,0.00581481481481481,random
0,Random Noise,2,0.011629629629629622,random
0,Random Noise,3,0.01418518518518519,random
0,Random Noise,4,0.008296296296296288,random
0,Random Noise,5,0.007333333333333337,random
0,Random Noise,6,0.008555555555555554,random
0,Random Noise,7,0.015074074074074071,random
0,Random Noise,8,0.01162962962962963,random
0,Random Noise,9,0.01014814814814814,random
0,Random Noise,0,0.010555555555555549,random
0,Random Noise,1,0.008111111111111109,random
0,Random Noise,2,0.011185185185185185,random
0,Random Noise,3,0.014370370370370365,random
0,Random Noise,4,0.010407407407407396,random
0,Random Noise,5,0.011222222222222219,random
0,Random Noise,6,0.010777777777777775,random
0,Random Noise,7,0.00885185185185185,random
0,Random Noise,8,0.008481481481481491,random
0,Random Noise,9,0.01377777777777777,random
0,Random Noise,0,0.009111111111111105,random
0,Random Noise,1,0.015296296296296294,random
0,Random Noise,2,0.008037037037037034,random
0,Random Noise,3,0.00981481481481481,random
0,Random Noise,4,0.011296296296296285,random
0,Random Noise,5,0.012444444444444444,random
0,Random Noise,6,0.011444444444444443,random
0,Random Noise,7,0.009703703703703695,random
0,Random Noise,8,0.009703703703703699,random
0,Random Noise,9,0.012888888888888885,random
0,Random Noise,0,0.00803703703703703,random
0,Random Noise,1,0.011259259259259252,random
0,Random Noise,2,0.013518518518518513,random
0,Random Noise,3,0.009296296296296299,random
0,Random Noise,4,0.007740740740740731,random
0,Random Noise,5,0.008259259259259247,random
0,Random Noise,6,0.015333333333333329,random
0,Random Noise,7,0.007296296296296288,random
0,Random Noise,8,0.006629629629629637,random
0,Random Noise,9,0.007666666666666665,random
0,Random Noise,0,0.013481481481481475,random
0,Random Noise,1,0.010296296296296298,random
