,id,Network,score,initial_state
0,Random Noise,0,0.043999999999999956,constant
0,Random Noise,1,0.08222222222222227,constant
0,Random Noise,2,0.08844444444444441,constant
0,Random Noise,3,0.047555555555555434,constant
0,Random Noise,4,0.09466666666666662,constant
0,Random Noise,5,0.17266666666666686,constant
0,Random Noise,6,0.10799999999999993,constant
0,Random Noise,7,0.05999999999999989,constant
0,Random Noise,8,0.028666666666666785,constant
0,Random Noise,9,0.06333333333333341,constant
0,Random Noise,0,0.10533333333333333,constant
0,Random Noise,1,0.0799999999999999,constant
0,Random Noise,2,0.06266666666666668,constant
0,Random Noise,3,0.12333333333333313,constant
0,Random Noise,4,0.10733333333333328,constant
0,Random Noise,5,0.09644444444444444,constant
0,Random Noise,6,0.036666666666666514,constant
0,Random Noise,7,0.03644444444444436,constant
0,Random Noise,8,0.11133333333333334,constant
0,Random Noise,9,0.12999999999999995,constant
0,Random Noise,0,0.064888888888889,constant
0,Random Noise,1,0.10133333333333333,constant
0,Random Noise,2,0.0888888888888889,constant
0,Random Noise,3,0.0446666666666668,constant
0,Random Noise,4,0.08199999999999968,constant
0,Random Noise,5,0.13600000000000015,constant
0,Random Noise,6,0.05466666666666681,constant
0,Random Noise,7,0.09933333333333338,constant
0,Random Noise,8,0.12666666666666665,constant
0,Random Noise,9,0.0742222222222223,constant
0,Random Noise,0,0.05244444444444436,constant
0,Random Noise,1,0.05600000000000002,constant
0,Random Noise,2,0.06399999999999967,constant
0,Random Noise,3,0.05555555555555555,constant
0,Random Noise,4,0.036666666666666736,constant
0,Random Noise,5,0.08599999999999997,constant
0,Random Noise,6,0.09333333333333332,constant
0,Random Noise,7,0.06399999999999995,constant
0,Random Noise,8,0.08599999999999997,constant
0,Random Noise,9,0.06888888888888911,constant
0,Random Noise,0,0.03533333333333305,constant
0,Random Noise,1,0.06599999999999995,constant
0,Random Noise,2,0.03933333333333311,constant
0,Random Noise,3,0.05666666666666653,constant
0,Random Noise,4,0.04733333333333317,constant
0,Random Noise,5,0.0846666666666665,constant
0,Random Noise,6,0.0666666666666666,constant
0,Random Noise,7,0.11155555555555541,constant
0,Random Noise,8,0.06733333333333308,constant
0,Random Noise,9,0.08533333333333354,constant
0,Random Noise,0,0.06755555555555537,constant
0,Random Noise,1,0.06844444444444434,constant
0,Random Noise,2,0.07933333333333342,constant
0,Random Noise,3,0.03533333333333338,constant
0,Random Noise,4,0.08466666666666656,constant
0,Random Noise,5,0.09822222222222227,constant
0,Random Noise,6,0.05600000000000016,constant
0,Random Noise,7,0.134,constant
0,Random Noise,8,0.06266666666666676,constant
0,Random Noise,9,0.08488888888888874,constant
0,Random Noise,0,0.047333333333333394,constant
0,Random Noise,1,0.08399999999999991,constant
0,Random Noise,2,0.043999999999999984,constant
0,Random Noise,3,0.07066666666666657,constant
0,Random Noise,4,0.06266666666666648,constant
0,Random Noise,5,0.04933333333333345,constant
0,Random Noise,6,0.08066666666666672,constant
0,Random Noise,7,0.06933333333333347,constant
0,Random Noise,8,0.03999999999999995,constant
0,Random Noise,9,0.04088888888888895,constant
0,Random Noise,0,0.03822222222222231,constant
0,Random Noise,1,0.11066666666666652,constant
0,Random Noise,2,0.11600000000000021,constant
0,Random Noise,3,0.10733333333333334,constant
0,Random Noise,4,0.08533333333333343,constant
0,Random Noise,5,0.09533333333333333,constant
0,Random Noise,6,0.03288888888888867,constant
0,Random Noise,7,0.08266666666666662,constant
0,Random Noise,8,0.11911111111111114,constant
0,Random Noise,9,0.08200000000000002,constant
0,Random Noise,0,0.03955555555555554,constant
0,Random Noise,1,0.08133333333333315,constant
0,Random Noise,2,0.05666666666666653,constant
0,Random Noise,3,0.08177777777777784,constant
0,Random Noise,4,0.08599999999999985,constant
0,Random Noise,5,0.06266666666666665,constant
0,Random Noise,6,0.07133333333333314,constant
0,Random Noise,7,0.04533333333333331,constant
0,Random Noise,8,0.09555555555555557,constant
0,Random Noise,9,0.04977777777777781,constant
0,Random Noise,0,0.10466666666666652,constant
0,Random Noise,1,0.07266666666666682,constant
0,Random Noise,2,0.05933333333333335,constant
0,Random Noise,3,0.13066666666666654,constant
0,Random Noise,4,0.0766666666666665,constant
0,Random Noise,5,0.04577777777777774,constant
0,Random Noise,6,0.13111111111111096,constant
0,Random Noise,7,0.07466666666666658,constant
0,Random Noise,8,0.052000000000000005,constant
0,Random Noise,9,0.047111111111110965,constant
0,Extinction,0,1.339111111111111,constant
0,Extinction,1,1.9746666666666668,constant
0,Extinction,2,0.0,constant
0,Extinction,3,1.992,constant
0,Extinction,4,0.8000000000000005,constant
0,Extinction,5,0.6768888888888888,constant
0,Extinction,6,1.4453333333333336,constant
0,Extinction,7,1.423111111111111,constant
0,Extinction,8,1.6426666666666665,constant
0,Extinction,9,1.8391111111111114,constant
0,Extinction,0,1.407111111111111,constant
0,Extinction,1,1.972,constant
0,Extinction,2,0.0,constant
0,Extinction,3,2.072,constant
0,Extinction,4,0.9039999999999999,constant
0,Extinction,5,0.6657777777777775,constant
0,Extinction,6,1.3786666666666665,constant
0,Extinction,7,1.4284444444444442,constant
0,Extinction,8,1.6026666666666665,constant
0,Extinction,9,1.8511111111111116,constant
0,Extinction,0,1.4204444444444446,constant
0,Extinction,1,1.9493333333333336,constant
0,Extinction,2,0.0,constant
0,Extinction,3,1.94,constant
0,Extinction,4,0.8866666666666669,constant
0,Extinction,5,0.7102222222222222,constant
0,Extinction,6,1.3946666666666672,constant
0,Extinction,7,1.4193333333333333,constant
0,Extinction,8,1.6346666666666665,constant
0,Extinction,9,1.8471111111111114,constant
0,Extinction,0,1.4004444444444446,constant
0,Extinction,1,1.9897777777777779,constant
0,Extinction,2,0.0,constant
0,Extinction,3,1.9786666666666668,constant
0,Extinction,4,0.9826666666666669,constant
0,Extinction,5,0.727111111111111,constant
0,Extinction,6,1.4373333333333331,constant
0,Extinction,7,1.4053333333333333,constant
0,Extinction,8,1.6166666666666665,constant
0,Extinction,9,1.8617777777777778,constant
0,Extinction,0,1.4017777777777776,constant
0,Extinction,1,1.9733333333333336,constant
0,Extinction,2,0.0,constant
0,Extinction,3,1.9493333333333331,constant
0,Extinction,4,1.0093333333333332,constant
0,Extinction,5,0.6537777777777778,constant
0,Extinction,6,1.484,constant
0,Extinction,7,1.4111111111111105,constant
0,Extinction,8,1.6106666666666665,constant
0,Extinction,9,1.8577777777777778,constant
0,Extinction,0,1.420444444444444,constant
0,Extinction,1,1.9680000000000004,constant
0,Extinction,2,0.0,constant
0,Extinction,3,2.0,constant
0,Extinction,4,0.9240000000000002,constant
0,Extinction,5,0.6742222222222222,constant
0,Extinction,6,1.442666666666667,constant
0,Extinction,7,1.4244444444444442,constant
0,Extinction,8,1.6086666666666665,constant
0,Extinction,9,1.8497777777777782,constant
0,Extinction,0,1.387111111111111,constant
0,Extinction,1,2.010666666666667,constant
0,Extinction,2,0.0,constant
0,Extinction,3,2.0440000000000005,constant
0,Extinction,4,1.088,constant
0,Extinction,5,0.6891111111111115,constant
0,Extinction,6,1.4466666666666668,constant
0,Extinction,7,1.3684444444444441,constant
0,Extinction,8,1.6466666666666665,constant
0,Extinction,9,1.860444444444445,constant
0,Extinction,0,1.3937777777777776,constant
0,Extinction,1,1.9639999999999997,constant
0,Extinction,2,0.0,constant
0,Extinction,3,2.034666666666667,constant
0,Extinction,4,0.9626666666666663,constant
0,Extinction,5,0.6491111111111114,constant
0,Extinction,6,1.3986666666666672,constant
0,Extinction,7,1.4297777777777774,constant
0,Extinction,8,1.5946666666666665,constant
0,Extinction,9,1.836444444444445,constant
0,Extinction,0,1.4204444444444444,constant
0,Extinction,1,1.9599999999999997,constant
0,Extinction,2,0.0,constant
0,Extinction,3,1.9573333333333331,constant
0,Extinction,4,1.0466666666666664,constant
0,Extinction,5,0.6604444444444445,constant
0,Extinction,6,1.430666666666667,constant
0,Extinction,7,1.4204444444444446,constant
0,Extinction,8,1.5766666666666664,constant
0,Extinction,9,1.8524444444444446,constant
0,Extinction,0,1.4297777777777774,constant
0,Extinction,1,1.9973333333333332,constant
0,Extinction,2,0.0,constant
0,Extinction,3,1.972,constant
0,Extinction,4,0.9533333333333333,constant
0,Extinction,5,0.6964444444444446,constant
0,Extinction,6,1.4839999999999995,constant
0,Extinction,7,1.3497777777777777,constant
0,Extinction,8,1.5786666666666664,constant
0,Extinction,9,1.8617777777777782,constant
0,No Extinction,0,1.1426666666666665,constant
