,id,Network,score
0,Random Noise,0,0.058222222222222175
0,Random Noise,1,0.11066666666666652
0,Random Noise,2,0.0786666666666665
0,Random Noise,3,0.10800000000000005
0,Random Noise,4,0.09822222222222218
0,Random Noise,5,0.06599999999999995
0,Random Noise,6,0.08222222222222209
0,Random Noise,7,0.06133333333333313
0,Random Noise,8,0.07133333333333336
0,Random Noise,9,0.05999999999999989
0,Random Noise,0,0.10466666666666674
0,Random Noise,1,0.14711111111111114
0,Random Noise,2,0.0799999999999999
0,Random Noise,3,0.10577777777777775
0,Random Noise,4,0.11666666666666681
0,Random Noise,5,0.08800000000000002
0,Random Noise,6,0.02466666666666656
0,Random Noise,7,0.07933333333333337
0,Random Noise,8,0.18577777777777765
0,Random Noise,9,0.06488888888888882
0,Random Noise,0,0.08222222222222222
0,Random Noise,1,0.08133333333333352
0,Random Noise,2,0.12199999999999994
0,Random Noise,3,0.10600000000000004
0,Random Noise,4,0.068
0,Random Noise,5,0.06533333333333313
0,Random Noise,6,0.051111111111110955
0,Random Noise,7,0.06066666666666676
0,Random Noise,8,0.04711111111111117
0,Random Noise,9,0.05466666666666675
0,Random Noise,0,0.06755555555555579
0,Random Noise,1,0.07155555555555537
0,Random Noise,2,0.0906666666666665
0,Random Noise,3,0.09533333333333305
0,Random Noise,4,0.0866666666666665
0,Random Noise,5,0.061333333333333406
0,Random Noise,6,0.03866666666666659
0,Random Noise,7,0.07111111111111106
0,Random Noise,8,0.0991111111111111
0,Random Noise,9,0.08222222222222228
0,Random Noise,0,0.07333333333333336
0,Random Noise,1,0.0713333333333333
0,Random Noise,2,0.060444444444444564
0,Random Noise,3,0.08488888888888885
0,Random Noise,4,0.07933333333333337
0,Random Noise,5,0.1153333333333334
0,Random Noise,6,0.08866666666666656
0,Random Noise,7,0.061999999999999944
0,Random Noise,8,0.04488888888888895
0,Random Noise,9,0.08933333333333338
0,Random Noise,0,0.04666666666666666
0,Random Noise,1,0.12866666666666682
0,Random Noise,2,0.025999999999999912
0,Random Noise,3,0.08755555555555541
0,Random Noise,4,0.08977777777777773
0,Random Noise,5,0.08399999999999985
0,Random Noise,6,0.10733333333333339
0,Random Noise,7,0.06622222222222252
0,Random Noise,8,0.17555555555555552
0,Random Noise,9,0.0866666666666665
0,Random Noise,0,0.05244444444444432
0,Random Noise,1,0.07422222222222213
0,Random Noise,2,0.08466666666666672
0,Random Noise,3,0.06733333333333308
0,Random Noise,4,0.03533333333333338
0,Random Noise,5,0.03533333333333316
0,Random Noise,6,0.10400000000000009
0,Random Noise,7,0.05777777777777762
0,Random Noise,8,0.07511111111111121
0,Random Noise,9,0.05533333333333329
0,Random Noise,0,0.08800000000000002
0,Random Noise,1,0.09333333333333316
0,Random Noise,2,0.07133333333333308
0,Random Noise,3,0.04222222222222223
0,Random Noise,4,0.049333333333333396
0,Random Noise,5,0.04333333333333306
0,Random Noise,6,0.05933333333333307
0,Random Noise,7,0.04866666666666658
0,Random Noise,8,0.03333333333333338
0,Random Noise,9,0.0513333333333334
0,Random Noise,0,0.07
0,Random Noise,1,0.11733333333333318
0,Random Noise,2,0.08400000000000002
0,Random Noise,3,0.09266666666666651
0,Random Noise,4,0.08333333333333337
0,Random Noise,5,0.0853333333333334
0,Random Noise,6,0.0542222222222222
0,Random Noise,7,0.04466666666666658
0,Random Noise,8,0.0626666666666667
0,Random Noise,9,0.03866666666666657
0,Random Noise,0,0.0813333333333332
0,Random Noise,1,0.10399999999999987
0,Random Noise,2,0.08444444444444454
0,Random Noise,3,0.10799999999999987
0,Random Noise,4,0.06933333333333325
0,Random Noise,5,0.060888888888888854
0,Random Noise,6,0.06799999999999995
0,Random Noise,7,0.05822222222222222
0,Random Noise,8,0.10577777777777768
0,Random Noise,9,0.07733333333333331
0,Extinction,0,0.7168888888888887
0,Extinction,1,0.7073333333333333
0,Extinction,2,0.5926666666666667
0,Extinction,3,0.6306666666666667
0,Extinction,4,0.7866666666666666
0,Extinction,5,0.683111111111111
0,Extinction,6,0.4582222222222221
0,Extinction,7,1.2577777777777774
0,Extinction,8,0.5071111111111111
0,Extinction,9,0.8688888888888887
0,Extinction,0,0.7035555555555555
0,Extinction,1,0.6873333333333334
0,Extinction,2,0.6426666666666669
0,Extinction,3,0.6613333333333333
0,Extinction,4,0.7453333333333332
0,Extinction,5,0.6093333333333333
0,Extinction,6,0.37288888888888855
0,Extinction,7,1.1537777777777776
0,Extinction,8,0.6137777777777778
0,Extinction,9,0.8151111111111111
0,Extinction,0,0.6459999999999997
0,Extinction,1,0.6586666666666667
0,Extinction,2,0.6906666666666668
0,Extinction,3,0.6073333333333333
0,Extinction,4,0.7566666666666665
0,Extinction,5,0.7871111111111111
0,Extinction,6,0.4017777777777775
0,Extinction,7,1.1777777777777776
0,Extinction,8,0.559111111111111
0,Extinction,9,0.892888888888889
0,Extinction,0,0.7859999999999998
0,Extinction,1,0.7126666666666666
0,Extinction,2,0.6386666666666667
0,Extinction,3,0.6933333333333332
0,Extinction,4,0.8364444444444441
0,Extinction,5,0.6417777777777778
0,Extinction,6,0.49822222222222207
0,Extinction,7,1.1644444444444444
0,Extinction,8,0.6017777777777776
0,Extinction,9,0.7168888888888889
0,Extinction,0,0.7484444444444442
0,Extinction,1,0.6173333333333333
0,Extinction,2,0.6586666666666666
0,Extinction,3,0.7128888888888887
0,Extinction,4,0.7213333333333334
0,Extinction,5,0.7591111111111111
0,Extinction,6,0.4608888888888888
0,Extinction,7,1.186
0,Extinction,8,0.6777777777777777
0,Extinction,9,0.8302222222222222
0,Extinction,0,0.6519999999999995
0,Extinction,1,0.784
0,Extinction,2,0.7153333333333334
0,Extinction,3,0.6657777777777778
0,Extinction,4,0.7217777777777779
0,Extinction,5,0.7497777777777778
0,Extinction,6,0.47444444444444417
0,Extinction,7,1.2124444444444449
0,Extinction,8,0.4711111111111109
0,Extinction,9,0.8444444444444443
0,Extinction,0,0.706
0,Extinction,1,0.7326666666666667
0,Extinction,2,0.5606666666666668
0,Extinction,3,0.7373333333333332
0,Extinction,4,0.7359999999999999
0,Extinction,5,0.7173333333333334
0,Extinction,6,0.37133333333333346
0,Extinction,7,1.0857777777777777
0,Extinction,8,0.5868888888888886
0,Extinction,9,0.753777777777778
0,Extinction,0,0.7653333333333332
0,Extinction,1,0.6600000000000001
0,Extinction,2,0.7113333333333335
0,Extinction,3,0.712
0,Extinction,4,0.7586666666666664
0,Extinction,5,0.7439999999999998
0,Extinction,6,0.47133333333333316
0,Extinction,7,1.1200000000000003
0,Extinction,8,0.5208888888888887
0,Extinction,9,0.8379999999999999
0,Extinction,0,0.7746666666666666
0,Extinction,1,0.7393333333333332
0,Extinction,2,0.7593333333333332
0,Extinction,3,0.6333333333333333
0,Extinction,4,0.77
0,Extinction,5,0.6764444444444444
0,Extinction,6,0.3648888888888888
0,Extinction,7,1.0724444444444448
0,Extinction,8,0.5342222222222222
0,Extinction,9,0.8106666666666665
0,Extinction,0,0.8499999999999998
0,Extinction,1,0.7766666666666666
0,Extinction,2,0.5006666666666666
0,Extinction,3,0.6859999999999998
0,Extinction,4,0.704
0,Extinction,5,0.7359999999999998
0,Extinction,6,0.5044444444444445
0,Extinction,7,1.0817777777777777
0,Extinction,8,0.483111111111111
0,Extinction,9,0.8835555555555554
0,No Extinction,0,0.8446666666666665
0,No Extinction,1,0.4386666666666666
0,No Extinction,2,0.6313333333333334
0,No Extinction,3,0.6942222222222222
0,No Extinction,4,0.9033333333333333
0,No Extinction,5,0.6839999999999999
0,No Extinction,6,0.7493333333333331
0,No Extinction,7,1.2253333333333332
0,No Extinction,8,0.766
0,No Extinction,9,0.5488888888888889
0,No Extinction,0,0.7799999999999997
0,No Extinction,1,0.46622222222222226
0,No Extinction,2,0.6073333333333333
0,No Extinction,3,0.7137777777777778
0,No Extinction,4,0.948
0,No Extinction,5,0.8559999999999997
0,No Extinction,6,0.8146666666666667
0,No Extinction,7,1.0786666666666669
0,No Extinction,8,0.6862222222222222
0,No Extinction,9,0.6604444444444444
0,No Extinction,0,0.8102222222222222
0,No Extinction,1,0.38311111111111107
0,No Extinction,2,0.6553333333333333
0,No Extinction,3,0.6635555555555555
0,No Extinction,4,0.7753333333333333
0,No Extinction,5,0.7857777777777775
0,No Extinction,6,0.6206666666666667
0,No Extinction,7,1.2013333333333331
0,No Extinction,8,0.7204444444444442
0,No Extinction,9,0.7186666666666667
0,No Extinction,0,0.9373333333333331
0,No Extinction,1,0.4239999999999999
0,No Extinction,2,0.7633333333333334
0,No Extinction,3,0.6146666666666667
0,No Extinction,4,0.8433333333333332
0,No Extinction,5,0.6519999999999997
0,No Extinction,6,0.6886666666666666
0,No Extinction,7,1.2795555555555556
0,No Extinction,8,0.7286666666666666
0,No Extinction,9,0.6351111111111112
0,No Extinction,0,0.7826666666666664
0,No Extinction,1,0.4573333333333333
0,No Extinction,2,0.7653333333333334
0,No Extinction,3,0.6826666666666665
0,No Extinction,4,0.7793333333333332
0,No Extinction,5,0.8186666666666664
0,No Extinction,6,0.7426666666666666
0,No Extinction,7,1.1946666666666665
0,No Extinction,8,0.7631111111111111
0,No Extinction,9,0.6599999999999999
0,No Extinction,0,0.8622222222222221
0,No Extinction,1,0.47599999999999976
0,No Extinction,2,0.7853333333333333
0,No Extinction,3,0.6822222222222221
0,No Extinction,4,0.807333333333333
0,No Extinction,5,0.8764444444444444
0,No Extinction,6,0.6613333333333333
0,No Extinction,7,1.1764444444444442
0,No Extinction,8,0.6737777777777776
0,No Extinction,9,0.6422222222222222
0,No Extinction,0,0.8946666666666665
0,No Extinction,1,0.408
0,No Extinction,2,0.7933333333333332
0,No Extinction,3,0.6439999999999999
