id,Network,score,initial_state
Random Noise,0,0.028,constant
Random Noise,1,0.029444444,constant
Random Noise,2,0.035222222,constant
Random Noise,3,0.028444444,constant
Random Noise,4,0.044444444,constant
Random Noise,5,0.052777778,constant
Random Noise,6,0.046222222,constant
Random Noise,7,0.021111111,constant
Random Noise,8,0.028555556,constant
Random Noise,9,0.027666667,constant
Random Noise,0,0.037666667,constant
Random Noise,1,0.025111111,constant
Random Noise,2,0.022333333,constant
Random Noise,3,0.034111111,constant
Random Noise,4,0.033666667,constant
Random Noise,5,0.034222222,constant
Random Noise,6,0.017222222,constant
Random Noise,7,0.026888889,constant
Random Noise,8,0.036777778,constant
Random Noise,9,0.032555556,constant
Random Noise,0,0.046222222,constant
Random Noise,1,0.040666667,constant
Random Noise,2,0.033444444,constant
Random Noise,3,0.029888889,constant
Random Noise,4,0.034333333,constant
Random Noise,5,0.031666667,constant
Random Noise,6,0.039111111,constant
Random Noise,7,0.037444444,constant
Random Noise,8,0.039666667,constant
Random Noise,9,0.041444444,constant
Random Noise,0,0.032222222,constant
Random Noise,1,0.030333333,constant
Random Noise,2,0.024,constant
Random Noise,3,0.024111111,constant
Random Noise,4,0.017888889,constant
Random Noise,5,0.042555556,constant
Random Noise,6,0.047333333,constant
Random Noise,7,0.032888889,constant
Random Noise,8,0.037888889,constant
Random Noise,9,0.033444444,constant
Random Noise,0,0.021444444,constant
Random Noise,1,0.027222222,constant
Random Noise,2,0.017222222,constant
Random Noise,3,0.017666667,constant
Random Noise,4,0.039444444,constant
Random Noise,5,0.033666667,constant
Random Noise,6,0.034222222,constant
Random Noise,7,0.051555556,constant
Random Noise,8,0.025222222,constant
Random Noise,9,0.035333333,constant
Random Noise,0,0.032555556,constant
Random Noise,1,0.026888889,constant
Random Noise,2,0.035888889,constant
Random Noise,3,0.026333333,constant
Random Noise,4,0.035666667,constant
Random Noise,5,0.044444444,constant
Random Noise,6,0.028,constant
Random Noise,7,0.036111111,constant
Random Noise,8,0.042888889,constant
Random Noise,9,0.032888889,constant
Random Noise,0,0.023,constant
Random Noise,1,0.043333333,constant
Random Noise,2,0.025555556,constant
Random Noise,3,0.017333333,constant
Random Noise,4,0.025111111,constant
Random Noise,5,0.018444444,constant
Random Noise,6,0.022555556,constant
Random Noise,7,0.043555556,constant
Random Noise,8,0.018,constant
Random Noise,9,0.019222222,constant
Random Noise,0,0.034444444,constant
Random Noise,1,0.032222222,constant
Random Noise,2,0.030666667,constant
Random Noise,3,0.033666667,constant
Random Noise,4,0.043555556,constant
Random Noise,5,0.040333333,constant
Random Noise,6,0.017111111,constant
Random Noise,7,0.043333333,constant
Random Noise,8,0.029888889,constant
Random Noise,9,0.040777778,constant
Random Noise,0,0.020222222,constant
Random Noise,1,0.036444444,constant
Random Noise,2,0.029222222,constant
Random Noise,3,0.027555556,constant
Random Noise,4,0.036777778,constant
Random Noise,5,0.035666667,constant
Random Noise,6,0.038777778,constant
Random Noise,7,0.027333333,constant
Random Noise,8,0.036111111,constant
Random Noise,9,0.030222222,constant
Random Noise,0,0.045,constant
Random Noise,1,0.035222222,constant
Random Noise,2,0.030333333,constant
Random Noise,3,0.039333333,constant
Random Noise,4,0.017222222,constant
Random Noise,5,0.027111111,constant
Random Noise,6,0.038555556,constant
Random Noise,7,0.029666667,constant
Random Noise,8,0.032,constant
Random Noise,9,0.021555556,constant
Extinction,0,0.999444444,constant
Extinction,1,0.838666667,constant
Extinction,2,1.333333333,constant
Extinction,3,0.675333333,constant
Extinction,4,1.206333333,constant
Extinction,5,0.700111111,constant
Extinction,6,0.94,constant
Extinction,7,0.984444444,constant
Extinction,8,1.056888889,constant
Extinction,9,0.873555556,constant
Extinction,0,1.013444444,constant
Extinction,1,0.839333333,constant
Extinction,2,1.333333333,constant
Extinction,3,0.661333333,constant
Extinction,4,1.187333333,constant
Extinction,5,0.704444444,constant
Extinction,6,0.962666667,constant
Extinction,7,0.977777778,constant
Extinction,8,1.062222222,constant
Extinction,9,0.870555556,constant
