,node,state,count,id
0,0,0,92,heather
1,0,1,2,heather
2,0,2,83,heather
3,1,0,112,heather
4,1,1,5,heather
5,1,2,60,heather
6,2,0,138,heather
7,2,1,6,heather
8,2,2,33,heather
9,3,0,69,heather
10,3,1,4,heather
11,3,2,104,heather
12,4,0,155,heather
13,4,1,3,heather
14,4,2,19,heather
15,5,0,42,heather
16,5,1,3,heather
17,5,2,132,heather
18,6,0,91,heather
19,6,1,3,heather
20,6,2,83,heather
21,7,0,55,heather
22,7,1,4,heather
23,7,2,118,heather
24,8,0,165,heather
25,8,1,0,heather
26,8,2,12,heather
27,9,0,121,heather
28,9,1,5,heather
29,9,2,51,heather
30,10,0,163,heather
31,10,1,2,heather
32,10,2,12,heather
33,11,0,151,heather
34,11,1,5,heather
35,11,2,21,heather
36,12,0,156,heather
37,12,1,0,heather
38,12,2,21,heather
39,13,0,142,heather
40,13,1,4,heather
41,13,2,31,heather
42,14,0,135,heather
43,14,1,8,heather
44,14,2,34,heather
45,15,0,162,heather
46,15,1,2,heather
47,15,2,13,heather
48,16,0,172,heather
49,16,1,0,heather
50,16,2,5,heather
51,17,0,112,heather
52,17,1,4,heather
53,17,2,61,heather
54,18,0,167,heather
55,18,1,0,heather
56,18,2,10,heather
57,19,0,149,heather
58,19,1,1,heather
59,19,2,27,heather
60,20,0,10,heather
61,20,1,0,heather
62,20,2,167,heather
63,21,0,28,heather
64,21,1,0,heather
65,21,2,149,heather
66,22,0,165,heather
67,22,1,5,heather
68,22,2,7,heather
69,23,0,175,heather
70,23,1,0,heather
71,23,2,2,heather
72,24,0,52,heather
73,24,1,3,heather
74,24,2,122,heather
75,25,0,176,heather
76,25,1,0,heather
77,25,2,1,heather
78,26,0,160,heather
79,26,1,2,heather
80,26,2,15,heather
81,27,0,146,heather
82,27,1,0,heather
83,27,2,31,heather
84,28,0,44,heather
85,28,1,3,heather
86,28,2,130,heather
87,29,0,153,heather
88,29,1,5,heather
89,29,2,19,heather
90,30,0,149,heather
91,30,1,0,heather
92,30,2,28,heather
93,31,0,161,heather
94,31,1,4,heather
95,31,2,12,heather
96,32,0,44,heather
97,32,1,3,heather
98,32,2,130,heather
99,33,0,163,heather
100,33,1,1,heather
101,33,2,13,heather
102,34,0,47,heather
103,34,1,2,heather
104,34,2,128,heather
105,35,0,84,heather
106,35,1,4,heather
107,35,2,89,heather
108,36,0,46,heather
109,36,1,1,heather
110,36,2,130,heather
111,37,0,58,heather
112,37,1,8,heather
113,37,2,111,heather
0,0,0,411,grass
1,0,1,81,grass
2,0,2,81,grass
3,1,0,226,grass
4,1,1,54,grass
5,1,2,293,grass
6,2,0,570,grass
7,2,1,3,grass
8,2,2,0,grass
9,3,0,122,grass
10,3,1,30,grass
11,3,2,421,grass
12,4,0,9,grass
13,4,1,37,grass
14,4,2,527,grass
15,5,0,432,grass
16,5,1,84,grass
17,5,2,57,grass
18,6,0,390,grass
19,6,1,49,grass
20,6,2,134,grass
21,7,0,49,grass
22,7,1,29,grass
23,7,2,495,grass
24,8,0,571,grass
25,8,1,1,grass
26,8,2,1,grass
27,9,0,450,grass
28,9,1,28,grass
29,9,2,95,grass
30,10,0,208,grass
31,10,1,101,grass
32,10,2,264,grass
33,11,0,567,grass
34,11,1,5,grass
35,11,2,1,grass
36,12,0,80,grass
37,12,1,53,grass
38,12,2,440,grass
39,13,0,572,grass
40,13,1,0,grass
41,13,2,1,grass
42,14,0,456,grass
43,14,1,43,grass
44,14,2,74,grass
45,15,0,298,grass
46,15,1,82,grass
47,15,2,193,grass
48,16,0,348,grass
49,16,1,83,grass
50,16,2,142,grass
51,17,0,488,grass
52,17,1,35,grass
53,17,2,50,grass
54,18,0,197,grass
55,18,1,96,grass
56,18,2,280,grass
57,19,0,38,grass
58,19,1,49,grass
59,19,2,486,grass
60,20,0,569,grass
61,20,1,1,grass
62,20,2,3,grass
63,21,0,268,grass
64,21,1,35,grass
65,21,2,270,grass
66,22,0,271,grass
67,22,1,79,grass
68,22,2,223,grass
69,23,0,572,grass
70,23,1,1,grass
71,23,2,0,grass
