RIS-TrapCode,CalDate,Autumnal Moth,Autumnal Rustic,Black Rustic,Broom Moth,Clouded Buff,Common Marbled Carpet,Dark Brocade,Dark Marbled Carpet,Dark Tussock,Dotted Border,Emperor Moth,Flounced Chestnut,Four-dotted Footman,Fox Moth,Glaucous Shears,Golden-rod Brindle,Grass Wave,Grey Mountain Carpet,Grey Scalloped Bar,Heath Rustic,Ingrailed Clay,July Highflyer,Light Knot Grass,Marsh Oblique-barred,Mottled Beauty,Northern Deep-brown Dart,Pale Eggar,Pinion-streaked Snout,Purple Clay,Red Sword-grass,Satyr Pug,Scarce Silver Y,Small Square-spot,Smoky Wave,True Lover's Knot,Twin-spot Carpet,Winter Moth,Yellow-line Quaker
45,1966,192.0,84.0,0.0,24.0,0.0,708.0,156.0,960.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,888.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,396.0,0.0,0.0,0.0,24.0,0.0,228.0,36.0,144.0,0.0
45,1967,420.0,312.0,0.0,0.0,0.0,780.0,132.0,1692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1524.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,624.0,0.0,0.0,0.0,24.0,0.0,108.0,24.0,360.0,0.0
45,1968,180.0,432.0,0.0,168.0,0.0,684.0,288.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,672.0,0.0,0.0,2136.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,888.0,0.0,0.0,0.0,0.0,0.0,216.0,36.0,420.0,0.0
45,1969,708.0,180.0,0.0,240.0,0.0,204.0,204.0,5148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,2976.0,180.0,0.0,0.0,24.0,0.0,0.0,0.0,1608.0,0.0,0.0,0.0,48.0,0.0,432.0,60.0,180.0,48.0
45,1970,216.0,84.0,0.0,144.0,0.0,168.0,72.0,1488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,1296.0,72.0,0.0,0.0,12.0,0.0,0.0,0.0,756.0,0.0,0.0,0.0,48.0,0.0,168.0,0.0,252.0,0.0
45,1971,684.0,120.0,0.0,12.0,0.0,120.0,36.0,1284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1452.0,24.0,0.0,0.0,12.0,0.0,0.0,0.0,552.0,0.0,0.0,0.0,0.0,0.0,96.0,252.0,24.0,36.0
45,1972,240.0,264.0,0.0,60.0,0.0,300.0,60.0,1272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,2028.0,12.0,0.0,0.0,24.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,24.0,0.0,36.0,72.0,12.0,0.0
45,1973,648.0,96.0,0.0,84.0,0.0,1392.0,72.0,960.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3288.0,0.0,12.0,0.0,24.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,84.0,0.0,120.0,144.0,84.0,0.0
45,1974,60.0,12.0,0.0,72.0,0.0,132.0,120.0,1428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,12.0,3828.0,132.0,0.0,0.0,72.0,0.0,0.0,0.0,696.0,0.0,0.0,12.0,144.0,0.0,180.0,156.0,108.0,0.0
45,1975,732.0,48.0,0.0,0.0,0.0,156.0,12.0,1236.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,3288.0,636.0,0.0,0.0,72.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,12.0,132.0,720.0,0.0
45,1976,3444.0,180.0,0.0,84.0,0.0,480.0,396.0,2532.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,24.0,0.0,120.0,0.0,12.0,4980.0,612.0,0.0,0.0,300.0,0.0,0.0,0.0,948.0,0.0,0.0,0.0,12.0,0.0,24.0,2736.0,252.0,24.0
45,1977,168.0,24.0,0.0,12.0,0.0,72.0,156.0,660.0,0.0,12.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,1128.0,24.0,0.0,0.0,84.0,0.0,0.0,0.0,336.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,36.0,0.0
45,1978,132.0,12.0,0.0,12.0,0.0,12.0,60.0,636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,936.0,12.0,0.0,0.0,96.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,36.0,0.0,0.0,60.0,0.0,36.0
45,1979,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1990,0.0,0.0,0.0,0.0,0.0,48.0,36.0,636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,816.0,492.0,0.0,0.0,144.0,0.0,0.0,0.0,432.0,0.0,0.0,0.0,0.0,0.0,168.0,24.0,60.0,108.0
45,1991,0.0,24.0,0.0,96.0,0.0,876.0,60.0,600.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,720.0,408.0,0.0,0.0,336.0,0.0,0.0,0.0,444.0,0.0,0.0,0.0,0.0,0.0,252.0,48.0,36.0,408.0
45,1992,252.0,0.0,0.0,132.0,0.0,96.0,12.0,168.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,108.0,0.0,0.0,252.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,108.0,120.0
45,1993,72.0,0.0,0.0,144.0,0.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,456.0,84.0,0.0,0.0,12.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,156.0,12.0,372.0,144.0
45,1994,192.0,0.0,0.0,24.0,0.0,60.0,84.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,984.0,240.0,0.0,0.0,72.0,0.0,0.0,0.0,516.0,0.0,0.0,0.0,0.0,0.0,108.0,24.0,1428.0,48.0
45,1995,264.0,24.0,0.0,72.0,0.0,720.0,156.0,240.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,960.0,780.0,0.0,0.0,48.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,768.0,84.0,996.0,204.0
45,1996,84.0,0.0,0.0,72.0,0.0,192.0,120.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,1656.0,1368.0,0.0,0.0,300.0,0.0,0.0,0.0,732.0,24.0,0.0,0.0,24.0,0.0,516.0,48.0,288.0,840.0
45,1997,252.0,0.0,0.0,48.0,0.0,120.0,60.0,804.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,852.0,408.0,12.0,0.0,108.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,108.0,84.0,240.0,156.0
45,1998,0.0,0.0,0.0,36.0,0.0,24.0,60.0,636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,456.0,120.0,0.0,0.0,12.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,252.0,168.0
45,1999,72.0,0.0,0.0,0.0,0.0,24.0,12.0,948.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,0.0,12.0,0.0,0.0,0.0,240.0,0.0,48.0,24.0
45,2000,0.0,0.0,0.0,108.0,0.0,84.0,12.0,1128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,636.0,108.0,0.0,0.0,36.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,204.0,72.0,12.0,72.0
45,2001,348.0,0.0,0.0,24.0,0.0,12.0,0.0,732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0,372.0,0.0,0.0,36.0,0.0,0.0,0.0,684.0,0.0,0.0,0.0,0.0,0.0,24.0,156.0,0.0,132.0
45,2002,276.0,0.0,12.0,60.0,0.0,24.0,12.0,2652.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.0,252.0,0.0,0.0,36.0,0.0,0.0,0.0,204.0,0.0,0.0,0.0,36.0,0.0,120.0,24.0,84.0,180.0
45,2003,132.0,0.0,0.0,84.0,0.0,60.0,60.0,3132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1128.0,468.0,0.0,0.0,72.0,0.0,0.0,0.0,336.0,0.0,0.0,0.0,0.0,0.0,156.0,192.0,72.0,348.0
45,2004,48.0,0.0,0.0,0.0,0.0,0.0,0.0,612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,264.0,0.0,0.0,12.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,12.0,0.0,180.0,36.0,0.0,396.0
