RIS-TrapCode,CalDate,Black Rustic,Cloaked Minor,Coast Dart,Common Wainscot,Dark Arches,Dusky Brocade,Dusky Sallow,Flounced Rustic,Gatekeeper,Large Nutmeg,Marbled Minor,Meadow Brown,Middle-barred Minor,Ringlet,Rosy Minor,Rustic Shoulder-knot,Shoulder-striped Wainscot,Slender Brindle,Small Dotted Buff,Smoky Wainscot,Speckled Wood,Straw Dot,Tawny Marbled Minor,Wall
1,1933,0.0,68.0,0.0,3094.0,986.0,170.0,0.0,1564.0,0.0,102.0,1190.0,0.0,986.0,0.0,0.0,272.0,510.0,0.0,204.0,1768.0,0.0,0.0,0.0,0.0
1,1934,0.0,986.0,0.0,1938.0,3060.0,102.0,0.0,5202.0,0.0,0.0,476.0,0.0,1156.0,0.0,34.0,136.0,306.0,0.0,748.0,2550.0,0.0,0.0,0.0,0.0
1,1935,0.0,4760.0,0.0,1632.0,20468.0,170.0,0.0,9996.0,0.0,714.0,1734.0,0.0,2992.0,0.0,102.0,238.0,2074.0,0.0,680.0,1972.0,0.0,0.0,0.0,0.0
1,1936,0.0,2720.0,0.0,170.0,680.0,102.0,0.0,3978.0,0.0,68.0,340.0,0.0,1088.0,0.0,34.0,34.0,374.0,0.0,340.0,1428.0,0.0,0.0,0.0,0.0
1,1946,0.0,306.0,0.0,612.0,714.0,34.0,34.0,18700.0,0.0,68.0,204.0,0.0,238.0,0.0,68.0,0.0,204.0,0.0,272.0,986.0,0.0,0.0,0.0,0.0
1,1947,0.0,136.0,0.0,6358.0,748.0,34.0,0.0,7922.0,0.0,0.0,544.0,0.0,476.0,0.0,170.0,34.0,102.0,0.0,340.0,544.0,0.0,68.0,0.0,0.0
1,1948,0.0,102.0,0.0,884.0,1836.0,102.0,0.0,14756.0,0.0,0.0,476.0,0.0,238.0,0.0,34.0,34.0,272.0,0.0,442.0,2312.0,0.0,34.0,0.0,0.0
1,1949,0.0,272.0,0.0,3944.0,510.0,34.0,34.0,24650.0,0.0,102.0,170.0,0.0,306.0,0.0,34.0,68.0,136.0,0.0,408.0,1972.0,0.0,0.0,408.0,0.0
1,1964,0.0,136.0,0.0,408.0,68.0,34.0,0.0,680.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,68.0,0.0,68.0,306.0,0.0,0.0,102.0,0.0
1,1966,0.0,238.0,0.0,442.0,102.0,0.0,0.0,680.0,0.0,34.0,170.0,0.0,510.0,0.0,0.0,68.0,102.0,0.0,68.0,1020.0,0.0,0.0,0.0,0.0
1,1967,0.0,136.0,0.0,1088.0,136.0,34.0,0.0,408.0,0.0,0.0,102.0,0.0,102.0,0.0,0.0,0.0,102.0,0.0,34.0,884.0,0.0,0.0,0.0,0.0
1,1968,0.0,204.0,0.0,1768.0,204.0,0.0,0.0,510.0,0.0,136.0,102.0,0.0,748.0,0.0,0.0,136.0,68.0,0.0,170.0,442.0,0.0,0.0,0.0,0.0
1,1969,0.0,102.0,0.0,1598.0,136.0,68.0,0.0,204.0,0.0,0.0,68.0,0.0,102.0,0.0,0.0,34.0,34.0,0.0,136.0,714.0,0.0,0.0,0.0,0.0
1,1970,0.0,34.0,0.0,3842.0,102.0,0.0,0.0,204.0,0.0,34.0,68.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,136.0,680.0,0.0,0.0,34.0,0.0
1,1971,0.0,238.0,0.0,1768.0,408.0,0.0,34.0,510.0,0.0,68.0,306.0,0.0,170.0,0.0,0.0,136.0,68.0,0.0,102.0,1258.0,0.0,0.0,0.0,0.0
1,1972,0.0,170.0,0.0,1734.0,272.0,68.0,0.0,340.0,0.0,0.0,68.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,1326.0,0.0,0.0,68.0,0.0
1,1973,0.0,34.0,0.0,1530.0,170.0,0.0,0.0,0.0,0.0,0.0,238.0,0.0,170.0,0.0,34.0,34.0,0.0,0.0,0.0,1088.0,0.0,0.0,34.0,0.0
1,1974,0.0,102.0,0.0,442.0,136.0,68.0,0.0,272.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,34.0,0.0,0.0,102.0,612.0,0.0,0.0,68.0,0.0
1,1975,0.0,408.0,0.0,14756.0,306.0,34.0,68.0,442.0,0.0,68.0,0.0,0.0,306.0,0.0,0.0,68.0,68.0,0.0,136.0,1122.0,0.0,0.0,136.0,0.0
1,1976,0.0,272.0,0.0,15878.0,1020.0,34.0,136.0,4930.0,0.0,34.0,68.0,0.0,544.0,0.0,0.0,136.0,170.0,0.0,170.0,1462.0,0.0,0.0,238.0,0.0
1,1977,0.0,884.0,0.0,986.0,2210.0,0.0,204.0,4284.0,0.0,34.0,34.0,0.0,136.0,0.0,0.0,102.0,68.0,0.0,102.0,612.0,0.0,0.0,102.0,0.0
