,Autumnal Moth,Autumnal Rustic,Black Rustic,Broom Moth,Common Marbled Carpet,Dark Brocade,Dark Marbled Carpet,Dotted Border,Emperor Moth,Glaucous Shears,Golden-rod Brindle,Grey Mountain Carpet,Heath Rustic,Ingrailed Clay,July Highflyer,Light Knot Grass,Mottled Beauty,Pale Eggar,Purple Clay,Red Sword-grass,Satyr Pug,Scarce Silver Y,Small Square-spot,True Lover's Knot,Twin-spot Carpet,Winter Moth,Yellow-line Quaker
1966,16,7,0,2,59,13,80,0,1,0,0,3,0,74,1,0,1,0,33,0,0,0,2,19,3,12,0
1967,35,26,0,0,65,11,141,0,0,0,0,1,0,127,3,0,0,0,52,0,0,0,2,9,2,30,0
1968,15,36,0,14,57,24,200,0,0,1,0,56,0,178,2,0,0,0,74,0,0,0,0,18,3,35,0
1969,59,15,0,20,17,17,429,0,0,0,0,8,0,248,15,0,2,0,134,0,0,0,4,36,5,15,4
1970,18,7,0,12,14,6,124,0,0,0,0,4,0,108,6,0,1,0,63,0,0,0,4,14,0,21,0
1971,57,10,0,1,10,3,107,0,0,0,0,0,0,121,2,0,1,0,46,0,0,0,0,8,21,2,3
1972,20,22,0,5,25,5,106,0,0,0,0,0,4,169,1,0,2,0,75,0,0,0,2,3,6,1,0
1973,54,8,0,7,116,6,80,1,0,0,0,0,0,274,0,1,2,0,10,0,0,0,7,10,12,7,0
1974,5,1,0,6,11,10,119,0,0,0,0,3,1,319,11,0,6,0,58,0,0,1,12,15,13,9,0
1975,61,4,0,0,13,1,103,1,0,0,0,25,0,274,53,0,6,0,30,0,0,0,0,1,11,60,0
1976,287,15,0,7,40,33,211,0,0,1,2,10,1,415,51,0,25,0,79,0,0,0,1,2,228,21,2
1977,14,2,0,1,6,13,55,1,0,2,0,0,0,94,2,0,7,0,28,0,0,2,0,0,2,3,0
1978,11,1,0,1,1,5,53,0,0,0,0,0,0,78,1,0,8,0,23,0,0,0,3,0,5,0,3
1979,0,0,0,0,2,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,0,0,0,0,4,3,53,0,0,0,0,2,0,68,41,0,12,0,36,0,0,0,0,14,2,5,9
1991,0,2,0,8,73,5,50,1,0,0,0,1,0,60,34,0,28,0,37,0,0,0,0,21,4,3,34
1992,21,0,0,11,8,1,14,1,0,0,0,0,0,19,9,0,21,0,16,0,0,0,0,2,0,9,10
1993,6,0,0,12,0,10,10,0,0,0,0,2,0,38,7,0,1,0,14,0,0,0,0,13,1,31,12
1994,16,0,0,2,5,7,25,0,0,0,0,9,0,82,20,0,6,0,43,0,0,0,0,9,2,119,4
1995,22,2,0,6,60,13,20,0,1,0,0,1,0,80,65,0,4,0,23,0,0,0,0,64,7,83,17
1996,7,0,0,6,16,10,100,0,0,0,0,14,0,138,114,0,25,0,61,2,0,0,2,43,4,24,70
1997,21,0,0,4,10,5,67,1,0,0,0,6,0,71,34,1,9,0,15,0,0,0,0,9,7,20,13
1998,0,0,0,3,2,5,53,0,0,0,0,2,0,38,10,0,1,0,14,0,0,0,0,30,0,21,14
1999,6,0,0,0,2,1,79,1,0,0,0,0,0,37,3,0,0,0,27,0,1,0,0,20,0,4,2
2000,0,0,0,9,7,1,94,0,0,0,0,2,0,53,9,0,3,0,25,0,0,0,0,17,6,1,6
2001,29,0,0,2,1,0,61,0,0,0,0,0,0,39,31,0,3,0,57,0,0,0,0,2,13,0,11
2002,23,0,1,5,2,1,221,1,0,0,0,0,0,41,21,0,3,0,17,0,0,0,3,10,2,7,15
2003,11,0,0,7,5,5,261,0,0,0,0,0,0,94,39,0,6,0,28,0,0,0,0,13,16,6,29
2004,4,0,0,0,0,0,51,0,0,0,0,0,0,18,22,0,1,0,14,0,0,0,1,15,3,0,33
2005,5,1,0,2,1,1,13,0,0,0,0,1,0,56,17,0,6,0,19,0,0,0,0,19,5,1,11
2006,7,0,0,1,5,3,12,0,0,0,0,0,0,50,19,0,1,0,17,0,0,0,0,9,2,8,20
2007,7,1,0,8,4,6,30,0,0,1,0,0,0,28,8,0,1,0,2,0,0,0,0,21,2,0,47
2008,0,0,0,5,6,5,47,0,0,0,0,0,0,21,2,0,1,0,1,0,0,0,1,19,3,0,9
2009,0,0,0,4,2,4,7,0,0,0,0,0,0,46,2,0,0,0,6,0,0,0,0,18,1,3,0
2010,6,1,0,19,15,14,52,0,0,0,0,0,0,90,11,0,0,0,1,0,0,0,4,4,1,6,18
2011,5,0,0,9,20,6,65,0,0,1,0,0,0,45,21,0,0,0,4,0,0,0,2,2,3,32,71
2012,0,0,0,0,15,4,63,1,0,9,0,0,0,13,9,0,0,0,4,0,0,0,1,11,0,11,7
2013,0,0,0,1,8,1,99,1,0,0,0,1,0,36,9,0,0,1,1,0,0,0,0,6,0,3,0
2014,5,0,0,4,4,19,15,0,0,3,0,0,0,47,18,0,0,0,15,1,0,0,1,6,0,16,11
2015,2,1,0,1,19,3,17,0,0,0,0,0,0,13,4,0,0,0,7,0,0,0,1,5,0,1,38
2016,0,0,0,10,5,4,113,0,0,0,0,0,0,37,7,0,0,0,4,0,0,0,2,16,0,2,28
2017,1,0,0,3,5,5,30,0,0,0,0,1,0,46,12,0,0,0,5,0,0,0,1,3,0,3,29
2018,3,1,0,16,0,7,33,0,0,0,0,1,0,54,11,0,0,0,5,0,0,0,2,5,1,45,34
