,Roughness,id,Noise Factor
0,0.4375,Extinction,1
1,0.461538462,Extinction,1
2,0.5,Extinction,1
3,0.538461538,Extinction,1
4,0.538461538,Extinction,1
5,0.611111111,Extinction,1
6,0.6,Extinction,1
7,0.4375,Extinction,1
8,0.153846154,Extinction,1
9,0.090909091,Extinction,1
10,0.277777778,Extinction,1
11,0.615384615,Extinction,1
12,0.1,Extinction,1
13,0.461538462,Extinction,1
14,0.55,Extinction,1
15,0.5625,Extinction,1
16,0.8,Extinction,1
17,0.25,Extinction,1
18,0.235294118,Extinction,1
19,0.066666667,Extinction,1
20,0.5,Extinction,1
21,0.611111111,Extinction,1
22,0.1,Extinction,1
23,0.090909091,Extinction,1
24,0.090909091,Extinction,1
25,0.083333333,Extinction,1
26,0.75,Extinction,1
27,0.214285714,Extinction,1
28,0,Extinction,1
29,0.1875,Extinction,1
30,0.25,Extinction,1
31,0.3125,Extinction,1
32,0.461538462,Extinction,1
33,0.2,Extinction,1
34,0.4375,Extinction,1
35,0.388888889,Extinction,1
36,0.461538462,Extinction,1
37,0.153846154,Extinction,1
38,0.076923077,Extinction,1
39,0.090909091,Extinction,1
40,0.473684211,Extinction,1
41,0.6875,Extinction,1
42,0.411764706,Extinction,1
43,0.111111111,Extinction,1
44,0.352941176,Extinction,1
45,0.611111111,Extinction,1
46,0.6,Extinction,1
47,0.5,Extinction,1
48,0.411764706,Extinction,1
49,0.076923077,Extinction,1
50,0.411764706,Extinction,1
51,0.533333333,Extinction,1
52,0.4,Extinction,1
53,0.470588235,Extinction,1
54,0.5,Extinction,1
55,0.588235294,Extinction,1
56,0.8,Extinction,1
57,0.5,Extinction,1
58,0.153846154,Extinction,1
59,0.5,Extinction,1
60,0.470588235,Extinction,1
61,0.1,Extinction,1
62,0.625,Extinction,1
63,0.125,Extinction,1
64,0.5,Extinction,1
65,0.588235294,Extinction,1
66,0.461538462,Extinction,1
67,0.214285714,Extinction,1
68,0.4375,Extinction,1
69,0.4,Extinction,1
70,0.3125,Extinction,1
71,0.5625,Extinction,1
72,0.461538462,Extinction,1
73,0.230769231,Extinction,1
74,0.214285714,Extinction,1
75,0.083333333,Extinction,1
76,0.428571429,Extinction,1
77,0.133333333,Extinction,1
78,0.235294118,Extinction,1
79,0.25,Extinction,1
80,0.071428571,Extinction,1
81,0.1,Extinction,1
82,0.666666667,Extinction,1
83,0.625,Extinction,1
84,0.5,Extinction,1
85,0.307692308,Extinction,1
86,0.5,Extinction,1
87,0.214285714,Extinction,1
88,0.142857143,Extinction,1
89,0,Extinction,1
90,0.529411765,Extinction,1
91,0.181818182,Extinction,1
92,0.5625,Extinction,1
93,0.5625,Extinction,1
94,0.529411765,Extinction,1
95,0.133333333,Extinction,1
96,0.5,Extinction,1
97,0.4375,Extinction,1
98,0.4375,Extinction,1
99,0.071428571,Extinction,1
100,0.2,No Extinction,1
101,0.125,No Extinction,1
102,0.25,No Extinction,1
103,0.357142857,No Extinction,1
104,0.4375,No Extinction,1
105,0.153846154,No Extinction,1
106,0.428571429,No Extinction,1
107,0.25,No Extinction,1
108,0.222222222,No Extinction,1
109,0.083333333,No Extinction,1
110,0.176470588,No Extinction,1
111,0.5,No Extinction,1
112,0.333333333,No Extinction,1
113,0.153846154,No Extinction,1
114,0.071428571,No Extinction,1
115,0.1875,No Extinction,1
116,0.428571429,No Extinction,1
117,0.2,No Extinction,1
118,0.45,No Extinction,1
119,0.058823529,No Extinction,1
120,0.368421053,No Extinction,1
121,0.428571429,No Extinction,1
122,0.153846154,No Extinction,1
123,0.266666667,No Extinction,1
124,0.25,No Extinction,1
125,0.142857143,No Extinction,1
126,0.6,No Extinction,1
127,0.133333333,No Extinction,1
128,0.1,No Extinction,1
129,0,No Extinction,1
130,0.25,No Extinction,1
131,0.3,No Extinction,1
132,0.3,No Extinction,1
133,0,No Extinction,1
134,0.3125,No Extinction,1
135,0.466666667,No Extinction,1
136,0.6,No Extinction,1
137,0.1875,No Extinction,1
138,0.263157895,No Extinction,1
139,0.571428571,No Extinction,1
140,0.133333333,No Extinction,1
141,0.529411765,No Extinction,1
142,0.1,No Extinction,1
143,0.181818182,No Extinction,1
144,0.4375,No Extinction,1
145,0.176470588,No Extinction,1
146,0.692307692,No Extinction,1
147,0.125,No Extinction,1
148,0.235294118,No Extinction,1
149,0.222222222,No Extinction,1
150,0.535714286,No Extinction,1
151,0,No Extinction,1
152,0,No Extinction,1
153,0.470588235,No Extinction,1
154,0.125,No Extinction,1
155,0.117647059,No Extinction,1
156,0.6,No Extinction,1
157,0,No Extinction,1
158,0.133333333,No Extinction,1
159,0.333333333,No Extinction,1
160,0.2,No Extinction,1
161,0.5,No Extinction,1
162,0.333333333,No Extinction,1
163,0,No Extinction,1
164,0,No Extinction,1
165,0.142857143,No Extinction,1
166,0.857142857,No Extinction,1
167,0.411764706,No Extinction,1
168,0.277777778,No Extinction,1
169,0.166666667,No Extinction,1
170,0.142857143,No Extinction,1
171,0.266666667,No Extinction,1
172,0.571428571,No Extinction,1
173,0.083333333,No Extinction,1
174,0.142857143,No Extinction,1
175,0.222222222,No Extinction,1
176,0.75,No Extinction,1
177,0.125,No Extinction,1
178,0.368421053,No Extinction,1
179,0.166666667,No Extinction,1
180,0.0625,No Extinction,1
181,0.35,No Extinction,1
182,0.083333333,No Extinction,1
183,0.181818182,No Extinction,1
184,0.133333333,No Extinction,1
185,0.157894737,No Extinction,1
186,0.75,No Extinction,1
187,0.333333333,No Extinction,1
188,0.476190476,No Extinction,1
189,0.823529412,No Extinction,1
190,0.277777778,No Extinction,1
191,0.214285714,No Extinction,1
192,0.083333333,No Extinction,1
193,0.294117647,No Extinction,1
194,0.4375,No Extinction,1
195,0.176470588,No Extinction,1
196,0.692307692,No Extinction,1
197,0.125,No Extinction,1
198,0,No Extinction,1
199,0.2,No Extinction,1
200,0,Random Noise,1
201,0,Random Noise,1
202,0.2,Random Noise,1
203,0,Random Noise,1
204,0.2,Random Noise,1
205,0.125,Random Noise,1
206,0.823529412,Random Noise,1
207,0.333333333,Random Noise,1
208,0.090909091,Random Noise,1
209,0.375,Random Noise,1
210,0,Random Noise,1
211,0.272727273,Random Noise,1
212,0,Random Noise,1
213,0.2,Random Noise,1
214,0,Random Noise,1
215,0,Random Noise,1
216,0.4,Random Noise,1
217,0.25,Random Noise,1
218,0.166666667,Random Noise,1
219,0,Random Noise,1
220,0,Random Noise,1
221,0,Random Noise,1
222,0.2,Random Noise,1
223,0.2,Random Noise,1
224,0,Random Noise,1
225,0.125,Random Noise,1
226,0.533333333,Random Noise,1
227,0,Random Noise,1
228,0.25,Random Noise,1
229,0.285714286,Random Noise,1
230,0.363636364,Random Noise,1
231,0,Random Noise,1
232,0.222222222,Random Noise,1
233,0.538461538,Random Noise,1
234,0.285714286,Random Noise,1
235,0.222222222,Random Noise,1
236,0,Random Noise,1
237,0,Random Noise,1
238,0.3,Random Noise,1
239,0.090909091,Random Noise,1
240,0.230769231,Random Noise,1
241,0.25,Random Noise,1
242,0.333333333,Random Noise,1
243,0,Random Noise,1
244,0.222222222,Random Noise,1
245,0.2,Random Noise,1
246,0.142857143,Random Noise,1
247,0.272727273,Random Noise,1
248,0.285714286,Random Noise,1
249,0.375,Random Noise,1
250,0.538461538,Random Noise,1
251,0.111111111,Random Noise,1
252,0.545454545,Random Noise,1
253,0.230769231,Random Noise,1
254,0.181818182,Random Noise,1
255,0,Random Noise,1
256,0.142857143,Random Noise,1
257,0,Random Noise,1
258,0.181818182,Random Noise,1
259,0.1,Random Noise,1
260,0,Random Noise,1
261,0,Random Noise,1
262,0.181818182,Random Noise,1
263,0,Random Noise,1
264,0,Random Noise,1
265,0.285714286,Random Noise,1
266,0.125,Random Noise,1
267,0.5,Random Noise,1
268,0.25,Random Noise,1
269,0,Random Noise,1
270,0.333333333,Random Noise,1
271,0.25,Random Noise,1
272,0.363636364,Random Noise,1
273,0,Random Noise,1
274,0.545454545,Random Noise,1
275,0.25,Random Noise,1
276,0.222222222,Random Noise,1
277,0.4,Random Noise,1
278,0.333333333,Random Noise,1
279,0.166666667,Random Noise,1
280,0.111111111,Random Noise,1
281,0.1,Random Noise,1
282,0.181818182,Random Noise,1
283,0.272727273,Random Noise,1
284,0,Random Noise,1
285,0.357142857,Random Noise,1
286,0.111111111,Random Noise,1
287,0.125,Random Noise,1
288,0.368421053,Random Noise,1
289,0.333333333,Random Noise,1
290,0.25,Random Noise,1
291,0.2,Random Noise,1
292,0.2,Random Noise,1
293,0.111111111,Random Noise,1
294,0,Random Noise,1
295,0.363636364,Random Noise,1
296,0.181818182,Random Noise,1
297,0,Random Noise,1
298,0,Random Noise,1
299,0.1,Random Noise,1
