,Roughness,id
0,0.722222222,One Layer
1,0,One Layer
2,0,One Layer
3,0.083333333,One Layer
4,0.470588235,One Layer
5,0.111111111,One Layer
6,0.214285714,One Layer
7,0.083333333,One Layer
8,0.2,One Layer
9,0,One Layer
10,0.230769231,One Layer
11,0.2,One Layer
12,0.111111111,One Layer
13,0.25,One Layer
14,0.625,One Layer
15,0.076923077,One Layer
16,0.111111111,One Layer
17,0.142857143,One Layer
18,0.545454545,One Layer
19,0.8,One Layer
20,0.583333333,One Layer
21,0,One Layer
22,0.125,One Layer
23,0,One Layer
24,0.2,One Layer
25,0.090909091,One Layer
26,0.538461538,One Layer
27,0.3,One Layer
28,0.5,One Layer
29,0.142857143,One Layer
30,0.083333333,One Layer
31,0.222222222,One Layer
32,0,One Layer
33,0,One Layer
34,0.1,One Layer
35,0.5625,One Layer
36,0.3,One Layer
37,0,One Layer
38,0.222222222,One Layer
39,0.214285714,One Layer
40,0.1,One Layer
41,0.333333333,One Layer
42,0,One Layer
43,0.111111111,One Layer
44,0.272727273,One Layer
45,0.1,One Layer
46,0.214285714,One Layer
47,0.153846154,One Layer
48,0.230769231,One Layer
49,0,One Layer
50,0.222222222,One Layer
51,0.636363636,One Layer
52,0.25,One Layer
53,0,One Layer
54,0.3,One Layer
55,0,One Layer
56,0.111111111,One Layer
57,0.2,One Layer
58,0.357142857,One Layer
59,0.25,One Layer
60,0.230769231,One Layer
61,0.25,One Layer
62,0.875,One Layer
63,0.111111111,One Layer
64,0.25,One Layer
65,0,One Layer
66,0.125,One Layer
67,0,One Layer
68,0.454545455,One Layer
69,0.090909091,One Layer
70,0,One Layer
71,0.142857143,One Layer
72,0.545454545,One Layer
73,0.222222222,One Layer
74,0.181818182,One Layer
75,0.083333333,One Layer
76,0.333333333,One Layer
77,0.333333333,One Layer
78,0.285714286,One Layer
79,0,One Layer
80,0.333333333,One Layer
81,0,One Layer
82,0.142857143,One Layer
83,0,One Layer
84,0.733333333,One Layer
85,0.133333333,One Layer
86,0.25,One Layer
87,0.090909091,One Layer
88,0,One Layer
89,0.1,One Layer
90,0.466666667,One Layer
91,0.111111111,One Layer
92,0.111111111,One Layer
93,0,One Layer
94,0,One Layer
95,0.5,One Layer
96,0,One Layer
97,0.090909091,One Layer
98,0.333333333,One Layer
99,0.25,One Layer
100,0.205882353,Two Layers
101,0.05,Two Layers
102,0.121212121,Two Layers
103,0.102564103,Two Layers
104,0.076923077,Two Layers
105,0,Two Layers
106,0.083333333,Two Layers
107,0.2,Two Layers
108,0.205128205,Two Layers
109,0.088235294,Two Layers
110,0.216216216,Two Layers
111,0.028571429,Two Layers
112,0.026315789,Two Layers
113,0.064516129,Two Layers
114,0.214285714,Two Layers
115,0.027777778,Two Layers
116,0.179487179,Two Layers
117,0.083333333,Two Layers
118,0.060606061,Two Layers
119,0.171428571,Two Layers
120,0.034482759,Two Layers
121,0.129032258,Two Layers
122,0.11627907,Two Layers
123,0.179487179,Two Layers
124,0.236842105,Two Layers
125,0.114285714,Two Layers
126,0.03125,Two Layers
127,0.142857143,Two Layers
128,0.108108108,Two Layers
129,0.23255814,Two Layers
130,0.055555556,Two Layers
131,0.060606061,Two Layers
132,0.146341463,Two Layers
133,0.114285714,Two Layers
134,0.428571429,Two Layers
135,0.032258065,Two Layers
136,0,Two Layers
137,0.153846154,Two Layers
138,0.139534884,Two Layers
139,0.058823529,Two Layers
140,0.052631579,Two Layers
141,0.096774194,Two Layers
142,0.083333333,Two Layers
143,0.078947368,Two Layers
144,0.222222222,Two Layers
145,0.032258065,Two Layers
146,0.057142857,Two Layers
147,0.064516129,Two Layers
148,0.081081081,Two Layers
149,0.085714286,Two Layers
150,0.03125,Two Layers
151,0.184210526,Two Layers
152,0.075,Two Layers
153,0,Two Layers
154,0.095238095,Two Layers
155,0.088235294,Two Layers
156,0.051282051,Two Layers
157,0.261904762,Two Layers
158,0.033333333,Two Layers
159,0.206896552,Two Layers
160,0.071428571,Two Layers
161,0,Two Layers
162,0.060606061,Two Layers
163,0.090909091,Two Layers
164,0.064516129,Two Layers
165,0.162162162,Two Layers
166,0.275,Two Layers
167,0.088235294,Two Layers
168,0.071428571,Two Layers
169,0.151515152,Two Layers
170,0.085714286,Two Layers
171,0.102564103,Two Layers
172,0.129032258,Two Layers
173,0,Two Layers
174,0,Two Layers
175,0.0625,Two Layers
176,0.078947368,Two Layers
177,0.088235294,Two Layers
178,0.028571429,Two Layers
179,0.205882353,Two Layers
180,0.029411765,Two Layers
181,0.090909091,Two Layers
182,0.171428571,Two Layers
183,0,Two Layers
184,0.055555556,Two Layers
