,Roughness,id,Links
10,0.166666667,acyclic ,15
11,0.117647059,acyclic ,15
12,0.35,acyclic ,15
13,0.25,acyclic ,15
14,0.166666667,acyclic ,15
15,0.235294118,acyclic ,15
16,0.166666667,acyclic ,15
17,0.526315789,acyclic ,15
18,0.772727273,acyclic ,15
19,0.8,acyclic ,15
30,0.210526316,acyclic ,15
31,0.869565217,acyclic ,15
32,0.166666667,acyclic ,15
33,0.277777778,acyclic ,15
34,0.277777778,acyclic ,15
35,0.55,acyclic ,15
36,0.235294118,acyclic ,15
37,0.375,acyclic ,15
38,0.166666667,acyclic ,15
39,0.315789474,acyclic ,15
50,0.25,acyclic ,15
51,0.380952381,acyclic ,15
52,0.476190476,acyclic ,15
53,0.458333333,acyclic ,15
54,0.35,acyclic ,15
55,0.64,acyclic ,15
56,0.210526316,acyclic ,15
57,0.315789474,acyclic ,15
58,0.608695652,acyclic ,15
59,0.35,acyclic ,15
70,0.666666667,acyclic ,15
71,0.277777778,acyclic ,15
72,0.35,acyclic ,15
73,0.409090909,acyclic ,15
74,0.380952381,acyclic ,15
75,0.277777778,acyclic ,15
76,0.117647059,acyclic ,15
77,0.210526316,acyclic ,15
78,0.625,acyclic ,15
79,0.210526316,acyclic ,15
90,0.277777778,acyclic ,15
91,0.210526316,acyclic ,15
92,0.277777778,acyclic ,15
93,0.285714286,acyclic ,15
94,0.318181818,acyclic ,15
95,0.571428571,acyclic ,15
96,0.380952381,acyclic ,15
97,0.35,acyclic ,15
98,0.210526316,acyclic ,15
99,0.285714286,acyclic ,15
110,0.285714286,acyclic ,15
111,0.5,acyclic ,15
112,0.166666667,acyclic ,15
113,0.571428571,acyclic ,15
114,0.117647059,acyclic ,15
115,0.315789474,acyclic ,15
116,0.35,acyclic ,15
117,0.409090909,acyclic ,15
118,0.35,acyclic ,15
119,0.5,acyclic ,15
130,0.277777778,acyclic ,15
131,0.277777778,acyclic ,15
132,0.166666667,acyclic ,15
133,0.235294118,acyclic ,15
134,0.625,acyclic ,15
135,0.277777778,acyclic ,15
136,0.235294118,acyclic ,15
137,0.277777778,acyclic ,15
138,0.608695652,acyclic ,15
139,0.210526316,acyclic ,15
150,0.55,acyclic ,15
151,0.166666667,acyclic ,15
152,0.45,acyclic ,15
153,0.235294118,acyclic ,15
154,0.315789474,acyclic ,15
155,0.25,acyclic ,15
156,0.35,acyclic ,15
157,0.315789474,acyclic ,15
158,0.117647059,acyclic ,15
159,0.166666667,acyclic ,15
170,0.315789474,acyclic ,15
171,0.25,acyclic ,15
172,0.210526316,acyclic ,15
173,0.166666667,acyclic ,15
174,0.210526316,acyclic ,15
175,0.235294118,acyclic ,15
176,0.117647059,acyclic ,15
177,0.166666667,acyclic ,15
178,0.166666667,acyclic ,15
179,0.210526316,acyclic ,15
190,0.25,acyclic ,15
191,0.25,acyclic ,15
192,0.25,acyclic ,15
193,0.210526316,acyclic ,15
194,0.315789474,acyclic ,15
195,0.476190476,acyclic ,15
196,0.277777778,acyclic ,15
197,0.277777778,acyclic ,15
198,0.210526316,acyclic ,15
199,0.285714286,acyclic ,15
300,0.285714286,acyclic ,5
301,0.6,acyclic ,5
302,0.2,acyclic ,5
303,0.625,acyclic ,5
304,0.368421053,acyclic ,5
305,0.333333333,acyclic ,5
306,0.35,acyclic ,5
307,0.352941176,acyclic ,5
308,0.25,acyclic ,5
309,0.214285714,acyclic ,5
310,0.3125,acyclic ,5
311,0.352941176,acyclic ,5
312,0.2,acyclic ,5
313,0.307692308,acyclic ,5
314,0.333333333,acyclic ,5
315,0.333333333,acyclic ,5
316,0.294117647,acyclic ,5
317,0.214285714,acyclic ,5
318,0.266666667,acyclic ,5
319,0.1875,acyclic ,5
320,0.266666667,acyclic ,5
321,0.235294118,acyclic ,5
322,0.235294118,acyclic ,5
323,0.529411765,acyclic ,5
324,0.684210526,acyclic ,5
325,0.333333333,acyclic ,5
326,0.35,acyclic ,5
327,0.285714286,acyclic ,5
328,0.133333333,acyclic ,5
329,0.222222222,acyclic ,5
330,0.142857143,acyclic ,5
331,0.692307692,acyclic ,5
332,0.4,acyclic ,5
333,0.285714286,acyclic ,5
334,0.333333333,acyclic ,5
335,0.65,acyclic ,5
336,0.2,acyclic ,5
337,0.470588235,acyclic ,5
338,0.214285714,acyclic ,5
339,0.333333333,acyclic ,5
340,0.35,acyclic ,5
341,0.266666667,acyclic ,5
342,0.526315789,acyclic ,5
343,0.380952381,acyclic ,5
344,0.222222222,acyclic ,5
345,0.230769231,acyclic ,5
346,0.444444444,acyclic ,5
347,0.2,acyclic ,5
348,0.117647059,acyclic ,5
349,0.5,acyclic ,5
350,0.307692308,acyclic ,5
351,0.210526316,acyclic ,5
352,0.266666667,acyclic ,5
353,0.235294118,acyclic ,5
354,0.421052632,acyclic ,5
355,0.307692308,acyclic ,5
356,0.411764706,acyclic ,5
