Roughness,Policy
0.473684211,Milns
0.142857143,Milns
0.25,Milns
0.473684211,Milns
0.65,Milns
0.210526316,Milns
0.473684211,Milns
0.142857143,Milns
0.375,Milns
0.705882353,Milns
0.277777778,Milns
0.473684211,Milns
0.076923077,Milns
0.5,Milns
0.611111111,Milns
0.210526316,Milns
0.333333333,Milns
0.133333333,Milns
0.357142857,Milns
1,Milns
0.25,Milns
0.631578947,Milns
0.473684211,Milns
0.235294118,Milns
0.666666667,Milns
0.166666667,Milns
0.444444444,Milns
0.25,Milns
0.176470588,Milns
1,Milns
0.333333333,Milns
0.523809524,Milns
0.411764706,Milns
0.133333333,Milns
0.666666667,Milns
0.458333333,Milns
0.333333333,Milns
0.352941176,Milns
1.038461538,Milns
0.764705882,Milns
0.294117647,Milns
0.722222222,Milns
0.473684211,Milns
0.388888889,Milns
0.533333333,Milns
0.166666667,Milns
0.142857143,Milns
0.388888889,Milns
0.176470588,Milns
1,Milns
0.571428571,Milns
0.473684211,Milns
0.444444444,Milns
0.071428571,Milns
0.588235294,Milns
0.105263158,Milns
0.125,Milns
0.444444444,Milns
0.470588235,Milns
0.764705882,Milns
0.473684211,Milns
0.588235294,Milns
0.5,Milns
0.352941176,Milns
0.588235294,Milns
0.4,Milns
0.411764706,Milns
0.444444444,Milns
0.470588235,Milns
1,Milns
0.235294118,Milns
0.347826087,Milns
0.444444444,Milns
0.411764706,Milns
0.588235294,Milns
0.105263158,Milns
0.2,Milns
0.6875,Milns
0.2,Milns
0.764705882,Milns
0.214285714,Milns
0.210526316,Milns
0.444444444,Milns
0.523809524,Milns
0.5,Milns
0.5,Milns
0.133333333,Milns
0.45,Milns
0.105263158,Milns
0.764705882,Milns
0.142857143,Milns
0.153846154,Milns
0.428571429,Milns
0.235294118,Milns
0.083333333,Milns
0.19047619,Milns
0.411764706,Milns
0.214285714,Milns
0.681818182,Milns
0.764705882,Milns
0.375,q3
0.526315789,q3
0.529411765,q3
0.352941176,q3
0.388888889,q3
0.235294118,q3
0.5,q3
0.588235294,q3
0.230769231,q3
0.375,q3
0.3,q3
0.294117647,q3
0.352941176,q3
0.368421053,q3
0.352941176,q3
0.263157895,q3
0.294117647,q3
0.235294118,q3
0.333333333,q3
0.384615385,q3
0.571428571,q3
0.6,q3
0.625,q3
0.625,q3
0.4,q3
0.529411765,q3
0.666666667,q3
0.375,q3
0.384615385,q3
0.6,q3
0.266666667,q3
0.153846154,q3
0.352941176,q3
0.285714286,q3
0.736842105,q3
0.333333333,q3
0.285714286,q3
0.142857143,q3
0.133333333,q3
0.470588235,q3
0.315789474,q3
0.117647059,q3
0.263157895,q3
0.294117647,q3
0.166666667,q3
0.571428571,q3
0.157894737,q3
0.458333333,q3
0.166666667,q3
0.315789474,q3
0.277777778,q3
0.380952381,q3
0.5,q3
0.210526316,q3
0.35,q3
0.166666667,q3
0.25,q3
0.318181818,q3
0.277777778,q3
0.25,q3
0.375,q3
0.352941176,q3
0.3125,q3
0.619047619,q3
0.526315789,q3
0.285714286,q3
0.266666667,q3
0.230769231,q3
0.277777778,q3
0.6,q3
0.1875,q3
0.555555556,q3
0.176470588,q3
0.533333333,q3
0.266666667,q3
0.352941176,q3
0.388888889,q3
0.736842105,q3
0.25,q3
0.466666667,q3
0.363636364,q3
0.166666667,q3
0.333333333,q3
0.2,q3
0.25,q3
0.333333333,q3
0.363636364,q3
0.2,q3
0.272727273,q3
0.571428571,q3
0.25,q3
0.555555556,q3
0.3125,q3
0.266666667,q3
0.333333333,q3
0.470588235,q3
0.388888889,q3
0.266666667,q3
0.285714286,q3
0.444444444,q3
