Roughness,id,Noise Factor
0.4375,E,1
0.461538462,E,1
0.5,E,1
0.538461538,E,1
0.538461538,E,1
0.611111111,E,1
0.6,E,1
0.4375,E,1
0.153846154,E,1
0.090909091,E,1
0.277777778,E,1
0.615384615,E,1
0.1,E,1
0.461538462,E,1
0.55,E,1
0.5625,E,1
0.8,E,1
0.25,E,1
0.235294118,E,1
0.066666667,E,1
0.5,E,1
0.611111111,E,1
0.1,E,1
0.090909091,E,1
0.090909091,E,1
0.083333333,E,1
0.75,E,1
0.214285714,E,1
0,E,1
0.1875,E,1
0.25,E,1
0.3125,E,1
0.461538462,E,1
0.2,E,1
0.4375,E,1
0.388888889,E,1
0.461538462,E,1
0.153846154,E,1
0.076923077,E,1
0.090909091,E,1
0.473684211,E,1
0.6875,E,1
0.411764706,E,1
0.111111111,E,1
0.352941176,E,1
0.611111111,E,1
0.6,E,1
0.5,E,1
0.411764706,E,1
0.076923077,E,1
0.411764706,E,1
0.533333333,E,1
0.4,E,1
0.470588235,E,1
0.5,E,1
0.588235294,E,1
0.8,E,1
0.5,E,1
0.153846154,E,1
0.5,E,1
0.470588235,E,1
0.1,E,1
0.625,E,1
0.125,E,1
0.5,E,1
0.588235294,E,1
0.461538462,E,1
0.214285714,E,1
0.4375,E,1
0.4,E,1
0.3125,E,1
0.5625,E,1
0.461538462,E,1
0.230769231,E,1
0.214285714,E,1
0.083333333,E,1
0.428571429,E,1
0.133333333,E,1
0.235294118,E,1
0.25,E,1
0.071428571,E,1
0.1,E,1
0.666666667,E,1
0.625,E,1
0.5,E,1
0.307692308,E,1
0.5,E,1
0.214285714,E,1
0.142857143,E,1
0,E,1
0.529411765,E,1
0.181818182,E,1
0.5625,E,1
0.5625,E,1
0.529411765,E,1
0.133333333,E,1
0.5,E,1
0.4375,E,1
0.4375,E,1
0.071428571,E,1
0.2,NE,1
0.125,NE,1
0.25,NE,1
0.357142857,NE,1
0.4375,NE,1
0.153846154,NE,1
0.428571429,NE,1
0.25,NE,1
0.222222222,NE,1
0.083333333,NE,1
0.176470588,NE,1
0.5,NE,1
0.333333333,NE,1
0.153846154,NE,1
0.071428571,NE,1
0.1875,NE,1
0.428571429,NE,1
0.2,NE,1
0.45,NE,1
0.058823529,NE,1
0.368421053,NE,1
0.428571429,NE,1
0.153846154,NE,1
0.266666667,NE,1
0.25,NE,1
0.142857143,NE,1
0.6,NE,1
0.133333333,NE,1
0.1,NE,1
0,NE,1
