,Roughness,id
0,0.833333333,hidden nodes
1,0.384615385,hidden nodes
2,0.75,hidden nodes
3,0.25,hidden nodes
4,0.3,hidden nodes
5,0.444444444,hidden nodes
6,0.384615385,hidden nodes
7,0.222222222,hidden nodes
8,0.666666667,hidden nodes
9,0.6,hidden nodes
10,0.264705882,observed nodes
11,0.27027027,observed nodes
12,0.103448276,observed nodes
13,0.111111111,observed nodes
14,0.105263158,observed nodes
15,0.09375,observed nodes
16,0.142857143,observed nodes
17,0.142857143,observed nodes
18,0.088235294,observed nodes
19,0.090909091,observed nodes
20,0.333333333,hidden nodes
21,0.4,hidden nodes
22,0.222222222,hidden nodes
23,0.444444444,hidden nodes
24,0.555555556,hidden nodes
25,0.818181818,hidden nodes
26,0.416666667,hidden nodes
27,0.428571429,hidden nodes
28,0.2,hidden nodes
29,0.333333333,hidden nodes
30,0.1,observed nodes
31,0.085714286,observed nodes
32,0.193548387,observed nodes
33,0.121212121,observed nodes
34,0.161290323,observed nodes
35,0.236842105,observed nodes
36,0.074074074,observed nodes
37,0.153846154,observed nodes
38,0.151515152,observed nodes
39,0.066666667,observed nodes
40,0.333333333,hidden nodes
41,0.333333333,hidden nodes
42,0.375,hidden nodes
43,0.25,hidden nodes
44,0.285714286,hidden nodes
45,0.5,hidden nodes
46,1.125,hidden nodes
47,0.727272727,hidden nodes
48,0.285714286,hidden nodes
49,0.333333333,hidden nodes
50,0.181818182,observed nodes
51,0.078947368,observed nodes
52,0.162790698,observed nodes
53,0.195121951,observed nodes
54,0.138888889,observed nodes
55,0.125,observed nodes
56,0.121212121,observed nodes
57,0.193548387,observed nodes
58,0.228571429,observed nodes
59,0.147058824,observed nodes
60,0.25,hidden nodes
61,0.5,hidden nodes
62,0.181818182,hidden nodes
63,0.2,hidden nodes
64,0.333333333,hidden nodes
65,0.285714286,hidden nodes
66,0.333333333,hidden nodes
67,0.444444444,hidden nodes
68,0.222222222,hidden nodes
69,0.25,hidden nodes
70,0.153846154,observed nodes
71,0.129032258,observed nodes
72,0.230769231,observed nodes
73,0.171428571,observed nodes
74,0.131578947,observed nodes
75,0.058823529,observed nodes
76,0.151515152,observed nodes
77,0.066666667,observed nodes
78,0.0625,observed nodes
79,0.121212121,observed nodes
80,0.588235294,hidden nodes
81,0.75,hidden nodes
82,0.4,hidden nodes
83,0.3,hidden nodes
84,0.454545455,hidden nodes
85,0.5,hidden nodes
86,0.416666667,hidden nodes
87,0.363636364,hidden nodes
88,0.866666667,hidden nodes
89,0.181818182,hidden nodes
90,0.128205128,observed nodes
91,0.261904762,observed nodes
92,0.289473684,observed nodes
93,0.485714286,observed nodes
94,0.277777778,observed nodes
95,0.142857143,observed nodes
96,0.129032258,observed nodes
97,0.060606061,observed nodes
98,0.111111111,observed nodes
99,0.078947368,observed nodes
100,0.333333333,hidden nodes
101,0.230769231,hidden nodes
102,0.272727273,hidden nodes
103,0.6875,hidden nodes
104,0.3,hidden nodes
105,0.25,hidden nodes
106,0.222222222,hidden nodes
107,0.25,hidden nodes
108,0.266666667,hidden nodes
109,0.666666667,hidden nodes
110,0.060606061,observed nodes
111,0.083333333,observed nodes
112,0.171428571,observed nodes
113,0.096774194,observed nodes
114,0.096774194,observed nodes
115,0.147058824,observed nodes
116,0.216216216,observed nodes
117,0.125,observed nodes
118,0.151515152,observed nodes
119,0.125,observed nodes
120,0.357142857,hidden nodes
121,0.333333333,hidden nodes
122,0.692307692,hidden nodes
123,0.5,hidden nodes
124,0.357142857,hidden nodes
125,0.333333333,hidden nodes
126,0.375,hidden nodes
127,0.666666667,hidden nodes
128,0.416666667,hidden nodes
129,0.285714286,hidden nodes
130,0.138888889,observed nodes
131,0.230769231,observed nodes
132,0.09375,observed nodes
133,0.058823529,observed nodes
134,0.114285714,observed nodes
135,0.102564103,observed nodes
136,0.325,observed nodes
137,0.131578947,observed nodes
138,0.052631579,observed nodes
139,0.147058824,observed nodes
140,0.25,hidden nodes
141,0.428571429,hidden nodes
142,0.5,hidden nodes
143,0.2,hidden nodes
144,0.307692308,hidden nodes
145,0.4,hidden nodes
146,0.2,hidden nodes
147,0.5,hidden nodes
148,0.272727273,hidden nodes
149,0.272727273,hidden nodes
150,0.25,observed nodes
151,0.138888889,observed nodes
152,0.19047619,observed nodes
153,0.205128205,observed nodes
154,0.129032258,observed nodes
155,0.30952381,observed nodes
156,0.147058824,observed nodes
157,0.147058824,observed nodes
