Roughness,id,Initial_State
0.125,Extinction,Random
0.214285714,Extinction,Random
0.526315789,Extinction,Random
0.3,Extinction,Random
0.176470588,Extinction,Random
0.125,Extinction,Random
0.142857143,Extinction,Random
0.545454545,Extinction,Random
0.0625,Extinction,Random
0.176470588,Extinction,Random
0.19047619,Extinction,Random
0.142857143,Extinction,Random
0.263157895,Extinction,Random
0.19047619,Extinction,Random
0.285714286,Extinction,Random
0.523809524,Extinction,Random
0.333333333,Extinction,Random
0.3125,Extinction,Random
0.058823529,Extinction,Random
0.263157895,Extinction,Random
0.2,Extinction,Random
0.222222222,Extinction,Random
0.608695652,Extinction,Random
0.15,Extinction,Random
0.263157895,Extinction,Random
0.142857143,Extinction,Random
0.142857143,Extinction,Random
0.176470588,Extinction,Random
0.157894737,Extinction,Random
0.3125,Extinction,Random
0.176470588,Extinction,Random
0.45,Extinction,Random
0.25,Extinction,Random
0.176470588,Extinction,Random
0.166666667,Extinction,Random
0.0625,Extinction,Random
0.409090909,Extinction,Random
0.214285714,Extinction,Random
0.15,Extinction,Random
0.117647059,Extinction,Random
0.176470588,Extinction,Random
0.066666667,Extinction,Random
0.125,Extinction,Random
0.25,Extinction,Random
0.473684211,Extinction,Random
0,Extinction,Random
0.071428571,Extinction,Random
0.066666667,Extinction,Random
0.1875,Extinction,Random
0.416666667,Extinction,Random
0.368421053,Extinction,Random
0.1875,Extinction,Random
0.4,Extinction,Random
0.176470588,Extinction,Random
0.176470588,Extinction,Random
0.1875,Extinction,Random
0.133333333,Extinction,Random
0.176470588,Extinction,Random
0.058823529,Extinction,Random
0.1875,Extinction,Random
0,Extinction,Random
0.333333333,Extinction,Random
0.105263158,Extinction,Random
0.2,Extinction,Random
0.222222222,Extinction,Random
0.466666667,Extinction,Random
0.25,Extinction,Random
0.571428571,Extinction,Random
0.904761905,Extinction,Random
0.0625,Extinction,Random
0.222222222,Extinction,Random
0.133333333,Extinction,Random
0,Extinction,Random
0.111111111,Extinction,Random
0.619047619,Extinction,Random
0,Extinction,Random
0.2,Extinction,Random
0.277777778,Extinction,Random
0.117647059,Extinction,Random
0.1875,Extinction,Random
0.0625,Extinction,Random
0.35,Extinction,Random
0.058823529,Extinction,Random
0.176470588,Extinction,Random
0.176470588,Extinction,Random
0.523809524,Extinction,Random
0.25,Extinction,Random
0.222222222,Extinction,Random
0.166666667,Extinction,Random
0.0625,Extinction,Random
0.409090909,Extinction,Random
0.277777778,Extinction,Random
0.117647059,Extinction,Random
0.166666667,Extinction,Random
0.117647059,Extinction,Random
0.133333333,Extinction,Random
0.277777778,Extinction,Random
0.133333333,Extinction,Random
0.2,Extinction,Random
0.214285714,Extinction,Random
0.1875,No Extinction,Random
0.230769231,No Extinction,Random
0.388888889,No Extinction,Random
0.555555556,No Extinction,Random
0.1875,No Extinction,Random
0.470588235,No Extinction,Random
0.142857143,No Extinction,Random
0.210526316,No Extinction,Random
0,No Extinction,Random
0.1,No Extinction,Random
0.266666667,No Extinction,Random
0.214285714,No Extinction,Random
0.2,No Extinction,Random
0.230769231,No Extinction,Random
0.058823529,No Extinction,Random
0.125,No Extinction,Random
0.333333333,No Extinction,Random
0.076923077,No Extinction,Random
0.230769231,No Extinction,Random
0.076923077,No Extinction,Random
0.181818182,No Extinction,Random
0.285714286,No Extinction,Random
0.1875,No Extinction,Random
0.066666667,No Extinction,Random
0.476190476,No Extinction,Random
0.2,No Extinction,Random
0.2,No Extinction,Random
0,No Extinction,Random
0.588235294,No Extinction,Random
0.166666667,No Extinction,Random
0.111111111,No Extinction,Random
0.214285714,No Extinction,Random
0.076923077,No Extinction,Random
0.608695652,No Extinction,Random
0.111111111,No Extinction,Random
0.25,No Extinction,Random
0.214285714,No Extinction,Random
0.266666667,No Extinction,Random
0.142857143,No Extinction,Random
0.333333333,No Extinction,Random
0.166666667,No Extinction,Random
0.3125,No Extinction,Random
0,No Extinction,Random
0.153846154,No Extinction,Random
0.277777778,No Extinction,Random
0.142857143,No Extinction,Random
0.125,No Extinction,Random
0.111111111,No Extinction,Random
0.090909091,No Extinction,Random
0.181818182,No Extinction,Random
0.571428571,No Extinction,Random
0.090909091,No Extinction,Random
0,No Extinction,Random
0.153846154,No Extinction,Random
0.235294118,No Extinction,Random
0.142857143,No Extinction,Random
0.166666667,No Extinction,Random
0.166666667,No Extinction,Random
0.181818182,No Extinction,Random
0.222222222,No Extinction,Random
0.352941176,No Extinction,Random
0.071428571,No Extinction,Random
0.142857143,No Extinction,Random
0.1875,No Extinction,Random
0.222222222,No Extinction,Random
0.588235294,No Extinction,Random
0.090909091,No Extinction,Random
0.066666667,No Extinction,Random
0.166666667,No Extinction,Random
0.181818182,No Extinction,Random
0.142857143,No Extinction,Random
0.2,No Extinction,Random
0.066666667,No Extinction,Random
0.833333333,No Extinction,Random
0.133333333,No Extinction,Random
0.166666667,No Extinction,Random
0.153846154,No Extinction,Random
0,No Extinction,Random
0.35,No Extinction,Random
0,No Extinction,Random
0.6,No Extinction,Random
0.461538462,No Extinction,Random
0.45,No Extinction,Random
0,No Extinction,Random
0.0625,No Extinction,Random
0.153846154,No Extinction,Random
0.071428571,No Extinction,Random
0,No Extinction,Random
0,No Extinction,Random
0.166666667,No Extinction,Random
0.133333333,No Extinction,Random
0.1875,No Extinction,Random
0.153846154,No Extinction,Random
0.222222222,No Extinction,Random
0.476190476,No Extinction,Random
0.25,No Extinction,Random
0.2,No Extinction,Random
0.066666667,No Extinction,Random
0.230769231,No Extinction,Random
0.5,No Extinction,Random
0.272727273,Random Noise,Random
0,Random Noise,Random
0,Random Noise,Random
0.333333333,Random Noise,Random
0.333333333,Random Noise,Random
0.222222222,Random Noise,Random
0,Random Noise,Random
0.142857143,Random Noise,Random
0.076923077,Random Noise,Random
0.090909091,Random Noise,Random
0.083333333,Random Noise,Random
0,Random Noise,Random
0.2,Random Noise,Random
0.2,Random Noise,Random
0.125,Random Noise,Random
0.769230769,Random Noise,Random
0.25,Random Noise,Random
0,Random Noise,Random
