,Roughness,id,initial_state
0,0.125,Extinction,random
1,0.214285714,Extinction,random
2,0.526315789,Extinction,random
3,0.3,Extinction,random
4,0.176470588,Extinction,random
5,0.125,Extinction,random
6,0.142857143,Extinction,random
7,0.545454545,Extinction,random
8,0.0625,Extinction,random
9,0.176470588,Extinction,random
10,0.19047619,Extinction,random
11,0.142857143,Extinction,random
12,0.263157895,Extinction,random
13,0.19047619,Extinction,random
14,0.285714286,Extinction,random
15,0.523809524,Extinction,random
16,0.333333333,Extinction,random
17,0.3125,Extinction,random
18,0.058823529,Extinction,random
19,0.263157895,Extinction,random
20,0.2,Extinction,random
21,0.222222222,Extinction,random
22,0.608695652,Extinction,random
23,0.15,Extinction,random
24,0.263157895,Extinction,random
25,0.142857143,Extinction,random
26,0.142857143,Extinction,random
27,0.176470588,Extinction,random
28,0.157894737,Extinction,random
29,0.3125,Extinction,random
30,0.176470588,Extinction,random
31,0.45,Extinction,random
32,0.25,Extinction,random
33,0.176470588,Extinction,random
34,0.166666667,Extinction,random
35,0.0625,Extinction,random
36,0.409090909,Extinction,random
37,0.214285714,Extinction,random
38,0.15,Extinction,random
39,0.117647059,Extinction,random
40,0.176470588,Extinction,random
41,0.066666667,Extinction,random
42,0.125,Extinction,random
43,0.25,Extinction,random
44,0.473684211,Extinction,random
45,0,Extinction,random
46,0.071428571,Extinction,random
47,0.066666667,Extinction,random
48,0.1875,Extinction,random
49,0.416666667,Extinction,random
50,0.368421053,Extinction,random
51,0.1875,Extinction,random
52,0.4,Extinction,random
53,0.176470588,Extinction,random
54,0.176470588,Extinction,random
55,0.1875,Extinction,random
56,0.133333333,Extinction,random
57,0.176470588,Extinction,random
58,0.058823529,Extinction,random
59,0.1875,Extinction,random
60,0,Extinction,random
61,0.333333333,Extinction,random
62,0.105263158,Extinction,random
63,0.2,Extinction,random
64,0.222222222,Extinction,random
65,0.466666667,Extinction,random
66,0.25,Extinction,random
67,0.571428571,Extinction,random
68,0.904761905,Extinction,random
69,0.0625,Extinction,random
70,0.222222222,Extinction,random
71,0.133333333,Extinction,random
72,0,Extinction,random
73,0.111111111,Extinction,random
74,0.619047619,Extinction,random
75,0,Extinction,random
76,0.2,Extinction,random
77,0.277777778,Extinction,random
78,0.117647059,Extinction,random
79,0.1875,Extinction,random
80,0.0625,Extinction,random
81,0.35,Extinction,random
82,0.058823529,Extinction,random
83,0.176470588,Extinction,random
84,0.176470588,Extinction,random
85,0.523809524,Extinction,random
86,0.25,Extinction,random
87,0.222222222,Extinction,random
88,0.166666667,Extinction,random
89,0.0625,Extinction,random
90,0.409090909,Extinction,random
91,0.277777778,Extinction,random
92,0.117647059,Extinction,random
93,0.166666667,Extinction,random
94,0.117647059,Extinction,random
95,0.133333333,Extinction,random
96,0.277777778,Extinction,random
97,0.133333333,Extinction,random
98,0.2,Extinction,random
99,0.214285714,Extinction,random
