,Roughness,id,initial_state
20,0.222222222,Random Noise,constant
21,0.2,Random Noise,constant
22,0.666666667,Random Noise,constant
23,1.071428571,Random Noise,constant
24,0.2,Random Noise,constant
25,0.692307692,Random Noise,constant
26,0.181818182,Random Noise,constant
27,0.272727273,Random Noise,constant
28,0.363636364,Random Noise,constant
29,0.285714286,Random Noise,constant
50,0.363636364,Random Noise,constant
51,0.25,Random Noise,constant
52,0.416666667,Random Noise,constant
53,0.555555556,Random Noise,constant
54,0.933333333,Random Noise,constant
55,0.285714286,Random Noise,constant
56,0.625,Random Noise,constant
57,0.8,Random Noise,constant
58,0.444444444,Random Noise,constant
59,0.444444444,Random Noise,constant
80,0.5,Random Noise,constant
81,0.461538462,Random Noise,constant
82,0.416666667,Random Noise,constant
83,0.333333333,Random Noise,constant
84,0.230769231,Random Noise,constant
85,0.357142857,Random Noise,constant
86,0.454545455,Random Noise,constant
87,0.285714286,Random Noise,constant
88,0.444444444,Random Noise,constant
89,0.25,Random Noise,constant
110,0.4,Random Noise,constant
111,0.5,Random Noise,constant
112,0.4,Random Noise,constant
113,0.357142857,Random Noise,constant
114,0.4,Random Noise,constant
115,0.4,Random Noise,constant
116,0.25,Random Noise,constant
117,0.692307692,Random Noise,constant
118,0.444444444,Random Noise,constant
119,0.333333333,Random Noise,constant
140,0.25,Random Noise,constant
141,0.166666667,Random Noise,constant
142,0.666666667,Random Noise,constant
143,0.230769231,Random Noise,constant
144,0.25,Random Noise,constant
145,0.375,Random Noise,constant
146,0.2,Random Noise,constant
147,0.333333333,Random Noise,constant
148,0.333333333,Random Noise,constant
149,0.454545455,Random Noise,constant
170,0.25,Random Noise,constant
171,0.727272727,Random Noise,constant
172,0.363636364,Random Noise,constant
173,0.727272727,Random Noise,constant
174,0.272727273,Random Noise,constant
175,0.3,Random Noise,constant
176,0.375,Random Noise,constant
177,0.5,Random Noise,constant
178,0.461538462,Random Noise,constant
179,0.8,Random Noise,constant
200,0.625,Random Noise,constant
201,0.333333333,Random Noise,constant
202,0.181818182,Random Noise,constant
203,0.769230769,Random Noise,constant
204,0.666666667,Random Noise,constant
205,0.666666667,Random Noise,constant
206,0.307692308,Random Noise,constant
207,0.3,Random Noise,constant
208,0.3,Random Noise,constant
209,0.4,Random Noise,constant
230,0.363636364,Random Noise,constant
231,0.333333333,Random Noise,constant
232,0.4,Random Noise,constant
233,0.153846154,Random Noise,constant
234,0.285714286,Random Noise,constant
235,0.416666667,Random Noise,constant
236,0.666666667,Random Noise,constant
237,0.8,Random Noise,constant
238,0.333333333,Random Noise,constant
239,0.909090909,Random Noise,constant
260,1.333333333,Random Noise,constant
261,0.333333333,Random Noise,constant
262,0.466666667,Random Noise,constant
263,0.416666667,Random Noise,constant
264,0.571428571,Random Noise,constant
265,0.333333333,Random Noise,constant
266,0.25,Random Noise,constant
267,0.4,Random Noise,constant
268,1.133333333,Random Noise,constant
269,0.8,Random Noise,constant
290,0.333333333,Random Noise,constant
291,0.25,Random Noise,constant
292,0.666666667,Random Noise,constant
293,0.222222222,Random Noise,constant
294,0.3,Random Noise,constant
295,0.363636364,Random Noise,constant
296,0.181818182,Random Noise,constant
297,0.5,Random Noise,constant
298,0.5,Random Noise,constant
299,0.9,Random Noise,constant
10,0.333333333,No Extinction,constant
11,0.333333333,No Extinction,constant
12,0.125,No Extinction,constant
13,0.5,No Extinction,constant
14,0.333333333,No Extinction,constant
15,0.2,No Extinction,constant
16,0.25,No Extinction,constant
