,Roughness,id
0,0.375,Sample
1,0.526315789,Sample
2,0.529411765,Sample
3,0.352941176,Sample
4,0.388888889,Sample
5,0.235294118,Sample
6,0.5,Sample
7,0.588235294,Sample
8,0.230769231,Sample
9,0.375,Sample
10,0.333333333,Positive Control
11,0.333333333,Positive Control
12,0.125,Positive Control
13,0.5,Positive Control
14,0.333333333,Positive Control
15,0.2,Positive Control
16,0.25,Positive Control
17,0.176470588,Positive Control
18,0.285714286,Positive Control
19,0.25,Positive Control
20,0.222222222,Negative Control
21,0.2,Negative Control
22,0.666666667,Negative Control
23,1.071428571,Negative Control
24,0.2,Negative Control
25,0.692307692,Negative Control
26,0.181818182,Negative Control
27,0.272727273,Negative Control
28,0.363636364,Negative Control
29,0.285714286,Negative Control
30,0.3,Sample
31,0.294117647,Sample
32,0.352941176,Sample
33,0.368421053,Sample
34,0.352941176,Sample
35,0.263157895,Sample
36,0.294117647,Sample
37,0.235294118,Sample
38,0.333333333,Sample
39,0.384615385,Sample
40,0.277777778,Positive Control
41,0.4,Positive Control
42,0.315789474,Positive Control
43,0.117647059,Positive Control
44,0.166666667,Positive Control
45,0.277777778,Positive Control
46,0.25,Positive Control
47,0.55,Positive Control
48,0.315789474,Positive Control
49,0.166666667,Positive Control
50,0.363636364,Negative Control
51,0.25,Negative Control
52,0.416666667,Negative Control
53,0.555555556,Negative Control
54,0.933333333,Negative Control
55,0.285714286,Negative Control
56,0.625,Negative Control
57,0.8,Negative Control
58,0.444444444,Negative Control
59,0.444444444,Negative Control
60,0.571428571,Sample
61,0.6,Sample
62,0.625,Sample
63,0.625,Sample
64,0.4,Sample
65,0.529411765,Sample
66,0.666666667,Sample
67,0.375,Sample
68,0.384615385,Sample
69,0.6,Sample
70,0.611111111,Positive Control
71,0.4,Positive Control
72,0.272727273,Positive Control
73,0.375,Positive Control
74,0.166666667,Positive Control
75,0.357142857,Positive Control
76,0.384615385,Positive Control
77,0.25,Positive Control
78,0.214285714,Positive Control
79,0.705882353,Positive Control
80,0.5,Negative Control
81,0.461538462,Negative Control
82,0.416666667,Negative Control
83,0.333333333,Negative Control
84,0.230769231,Negative Control
85,0.357142857,Negative Control
